position,standort,cluster,positionsart,anlagentyp,naben_oder_messhoehe_m,rotordurchmesser_m,ostwert_utm32_m,nordwert_utm32_m,rix_prozent,gelaendehoehe_dgm_m,betriebsbeginn,betriebsende,beobachtungsbeginn,beobachtungsende
AS-P001,Alpen-Sevelen,AS-01,WEA,E-66/18.70-1.800,98.0,70.0,324155.0,5720302.0,3.37,23.83416175842285,2002-12-18,,2002-12-13,2022-05-17
AS-P002,Alpen-Sevelen,AS-01,WEA,E-66/18.70-1.800,98.0,70.0,324311.0,5720078.0,2.61,24.03838348388672,2002-12-18,,2002-12-13,2022-05-17
AS-P003,Alpen-Sevelen,AS-01,WEA,E-66/18.70-1.800,98.0,70.0,324461.0,5719835.0,2.35,24.16411018371582,2002-12-12,,2002-12-13,2022-05-17
AS-P004,Alpen-Sevelen,AS-02,WEA,E-82 E2-2.300,108.0,82.0,330758.0,5722857.0,1.5,18.727537155151367,2011-12-07,,2015-01-01,2022-05-17
AS-P005,Alpen-Sevelen,AS-02,WEA,E-82 E2-2.300,108.0,82.0,330827.0,5721765.0,1.48,19.015655517578125,2011-12-02,,2015-01-01,2022-05-17
AS-P006,Alpen-Sevelen,AS-03,WEA,E-126 EP3-4.000,135.0,127.0,316694.0,5706541.0,0.02,29.081727981567383,2021-07-01,,2021-08-05,2022-10-31
AS-P007,Alpen-Sevelen,AS-03,WEA,E-126 EP3-4.000,135.0,127.0,317662.0,5706554.0,0.02,29.326629638671875,2021-07-09,,2021-08-05,2022-10-31
AS-P008,Alpen-Sevelen,AS-04,WEA,E-115 TES-3.000,135.4,115.7,319323.0,5708012.0,0.01,30.430871963500977,2018-03-09,,2018-03-10,2020-11-24
AS-P009,Alpen-Sevelen,AS-04,WEA,E-115 TES-3.000,135.4,115.7,319613.0,5707842.0,0.0,30.80193328857422,2018-02-23,,2018-02-23,2020-11-24
AS-P010,Alpen-Sevelen,AS-04,WEA,E-115 TES-3.000,135.4,115.7,319818.0,5707407.0,0.01,31.11543083190918,2018-03-28,,2018-03-29,2020-11-24
AS-P011,Alpen-Sevelen,AS-04,WEA,E-115 TES-3.000,135.4,115.7,319433.0,5707485.0,0.02,30.6063232421875,2018-03-21,,2018-04-05,2020-11-24
AS-P012,Alpen-Sevelen,AS-05,WEA,E-115 TES-3.000,149.0,115.7,322668.0,5706873.0,2.8,37.1143913269043,2017-12-20,,2018-01-15,2020-11-24
AS-P013,Alpen-Sevelen,AS-05,WEA,E-115 TES-3.000,149.0,115.7,323031.0,5706760.0,3.6,38.19124221801758,2017-12-28,,2018-02-02,2020-11-24
AS-P014,Alpen-Sevelen,AS-05,WEA,E-115 TES-3.000,149.0,115.7,323424.0,5706680.0,4.81,42.0253791809082,2018-03-06,,2018-03-08,2020-11-24
AS-P015,Alpen-Sevelen,AS-06,WEA,E-115 TES-3.000,149.0,115.7,321956.0,5705588.0,3.31,35.70262908935547,2018-03-14,,2018-04-20,2020-11-24
AM-P001,Altenmellrich,AM-01,WEA,E-58/10.58-1.000,70.5,58.6,443204.0,5707450.0,32.57,256.9423217773437,2002-06-28,,2014-10-02,2026-08-04
AM-P002,Altenmellrich,AM-01,WEA,E-58/10.58-1.000,70.5,58.6,443073.0,5707783.0,31.39,243.0348052978516,2004-10-08,,2014-10-02,2026-08-04
AM-P003,Altenmellrich,AM-01,WEA,"E-70 E4 2,3 MW-2.300",64.0,71.0,443311.0,5707754.0,31.37,252.1534423828125,2014-07-30,,2014-08-05,2026-08-04
AM-P004,Altenmellrich,AM-01,WEA,E-58/10.58-1.000,70.5,58.6,443602.0,5707747.0,31.93,254.0000915527344,2002-03-14,,2014-08-05,2026-08-04
AM-P005,Altenmellrich,AM-02,WEA,E-58/10.58-1.000,70.5,58.6,444128.0,5706470.0,33.49,290.1876525878906,2002-12-10,,2018-01-01,2026-08-04
AM-P006,Altenmellrich,AM-02,WEA,E-66/18.70-1.800,65.0,70.0,444135.0,5706710.0,34.47,282.4601745605469,2003-08-15,,2018-01-01,2026-08-04
AM-P007,Altenmellrich,AM-03,WEA,E-58/10.58-1.000,70.5,58.6,447671.0,5707657.0,35.75,264.9203491210937,2003-02-20,,2018-11-28,2026-08-05
AM-P008,Altenmellrich,AM-03,WEA,E-70 E4-2.000,64.0,71.0,449657.0,5707828.0,42.49,290.1129455566406,2007-10-15,,2016-01-01,2025-12-31
AM-P009,Altenmellrich,AM-03,WEA,E-70 E4-2.300,64.0,71.0,449416.0,5708361.0,40.82,265.7392883300781,2007-10-15,,2016-01-01,2025-12-31
AM-P010,Altenmellrich,AM-04,WEA,"E-70 E4 2,3 MW-2.300",64.0,71.0,453848.0,5706522.0,31.58,330.8287658691406,2007-11-12,,2017-01-01,2026-08-04
BB-P001,Bad Berleburg,BB-01,LiDAR,,165.0,,445679.0,5652988.0,72.34,584.6337280273438,,,2023-12-11,2025-04-16
BB-P002,Bad Berleburg,BB-02,LiDAR,,165.0,,447968.0,5657594.0,70.88,620.0777587890625,,,2024-01-23,2024-07-25
BB-P003,Bad Berleburg,BB-03,LiDAR,,165.0,,450134.0,5654053.0,70.21,547.5995483398438,,,2024-10-11,2025-04-16
