standort,cluster,anzahl_positionen,mittlerer_wakeverlust_anteil,reproduktionsguete_unkorrigiert,reproduktionsguete_wakebereinigt,clusterzentrum_ostwert_utm32_m,clusterzentrum_nordwert_utm32_m,cluster_rix_prozent,mittlere_gelaendehoehe_dgm_m,standardunsicherheit_log
Alpen-Sevelen,AS-01,3,0.0289706666666666,1.0459499315263077,1.0658146547592038,324309.0,5720071.666666667,2.776666666666667,24.0122184753418,0.0060659931660795
Alpen-Sevelen,AS-02,2,0.0150824999999999,1.0556402569378296,1.0659610272313136,330792.5,5722311.0,1.49,18.871596336364743,0.0023856468095987
Alpen-Sevelen,AS-03,2,0.0307169999999999,0.987073870709787,1.008209925275079,317178.0,5706547.5,0.02,29.20417881011963,0.0043760043488246
Alpen-Sevelen,AS-04,4,0.09104925,0.9765005921357583,1.038651428447836,319546.75,5707686.5,0.01,30.73863983154297,0.0111010705833305
Alpen-Sevelen,AS-05,3,0.0530426666666666,0.9596671291574778,0.9956517595976114,323041.0,5706771.0,3.7366666666666655,39.110337575276695,0.0174439447717366
Alpen-Sevelen,AS-06,1,0.0347379999999999,0.9694434945566196,0.9932906547419992,321956.0,5705588.0,3.31,35.70262908935547,0.0060659931660795
Altenmellrich,AM-01,4,0.08756875,0.891276993000738,0.891276993000738,443297.5,5707683.5,31.815,251.53266525268555,0.017094156015645
Altenmellrich,AM-02,2,0.045848,1.0451562655602893,1.0451562655602893,444131.5,5706590.0,33.980000000000004,286.32391357421875,0.0748742605567728
Altenmellrich,AM-03,3,0.1702513333333333,0.9769873421749732,0.9769873421749732,448914.6666666667,5707948.666666667,39.68666666666667,273.5908610026042,0.0266299800589313
Altenmellrich,AM-04,1,0.044178,1.0864239206919863,1.0864239206919863,453848.0,5706522.0,31.58,330.8287658691406,0.0266299800589313
Bad Berleburg,BB-01,1,0.0,1.0,1.0,445679.0,5652988.0,72.34,584.6337280273438,0.0664
Bad Berleburg,BB-02,1,0.0,1.073296,1.073296,447968.0,5657594.0,70.88,620.0777587890625,0.0724
Bad Berleburg,BB-03,1,0.0,1.0670889999999995,1.0670889999999995,450134.0,5654053.0,70.21,547.5995483398438,0.0724
Bad Berleburg,BB-04,1,0.0,1.1728889999999998,1.1728889999999998,451558.0,5656674.0,71.45,556.6530151367188,0.0724
Bad Berleburg,BB-05,1,0.0,1.2034090000000002,1.2034090000000002,454119.0,5657598.0,74.76,587.6893920898438,0.0722
Bad Berleburg,BB-06,1,0.0,1.212201,1.212201,456751.0,5658671.0,73.0,554.3344116210938,0.0842
Bad Berleburg,BB-07,1,0.0,1.1109160000000002,1.1109160000000002,459165.0,5660761.0,75.86,656.0676879882812,0.0726
Borken-Coesfeld,BC-01,3,0.0743276666666666,1.019484944030132,1.019484944030132,368810.6666666667,5763759.0,0.0366666666666666,74.03921000162761,0.0056848766716268
Borken-Coesfeld,BC-02,2,0.0540164999999999,1.0165599322531165,1.0165599322531162,374349.5,5763126.0,1.425,108.56679916381836,0.016944481284766
Borken-Coesfeld,BC-03,2,0.058149,0.9775435482730772,0.9775435482730772,357259.5,5739442.0,0.425,59.64730072021485,0.002250127542682
Borken-Coesfeld,BC-04,6,0.0967553333333333,0.9828850210350892,0.9828850210350892,360106.5,5739649.666666667,2.4766666666666666,75.5157585144043,0.0166106930273124
Borken-Coesfeld,BC-05,3,0.0758246666666666,0.9741370439697262,0.9741370439697262,362035.0,5744226.0,7.123333333333334,91.24963124593098,0.0014169800998734
Borken-Coesfeld,BC-06,4,0.099242,1.0318834063588758,1.0318834063588758,373374.75,5747362.5,0.4075,58.29393482208252,0.0167408379098863
Lorup,LO-01,4,0.10228325,0.9903013033487668,0.9903013033487668,409687.75,5869672.0,0.9875,10.45674991607666,0.0159327328713078
Lorup,LO-02,14,0.1887598571428571,1.0110455833620984,1.0110455833620984,405632.2142857143,5864851.785714285,1.8671428571428568,18.293642861502512,0.0125379295313248
Lorup,LO-03,5,0.0919885999999999,0.9993842848418728,0.9993842848418728,410828.2,5863551.0,0.6639999999999999,28.221799850463867,0.0145349976408725
Ostfriesland,OF-01,2,0.1468365,1.0036617223339896,0.9370328567659152,395475.5,5943696.5,0.0,0.6514999866485596,0.0100052959693867
Ostfriesland,OF-02,2,0.1263719999999999,1.0334177699241995,0.9761834181692992,400356.5,5944622.0,0.0,1.115500032901764,0.0120134299637579
Ostfriesland,OF-03,7,0.0919752857142857,0.9714371541887584,0.9296231388661736,421318.1428571429,5947338.571428572,0.0,1.369285694190434,0.0074934450358052
Ostfriesland,OF-04,3,0.0951346666666666,0.9834382327390446,0.9436926521093566,435670.0,5937306.0,0.0,1.7086666623751323,0.0034577573268231
Paderborn,PA-01,2,0.0286419999999999,0.9952659701535592,0.9952659701535592,491015.0,5740243.5,44.725,244.87921905517575,0.0213934657176303
Paderborn,PA-02,2,0.0422085,0.8754360542473819,0.8754360542473819,494857.0,5740745.5,65.275,392.33055114746094,0.0273260315740962
Paderborn,PA-03,1,0.0948439999999999,0.9681763518293872,0.9681763518293872,495062.0,5731968.0,55.22,345.2251281738281,0.0150593266065702
Paderborn,PA-04,16,0.13763,0.9258493926774474,0.9258493926774474,489792.9375,5730233.625,38.9725,258.33630657196045,0.0096064833976523
Paderborn,PA-05,14,0.1715522142857142,0.9601150737672618,0.9601150737672618,490979.9285714286,5724378.428571428,42.995,333.55625915527344,0.0224842948088663
Paderborn,PA-06,7,0.143933,1.0716057384017206,1.0716057384017206,486166.7142857143,5719731.857142857,40.48142857142857,276.9845232282366,0.0107173735456022
Paderborn,PA-07,11,0.1580296363636364,1.0078781078552383,1.0078781078552383,490870.1818181818,5719941.0,40.657272727272726,322.9014975807884,0.0066730414041336
Paderborn,PA-08,6,0.1792816666666666,0.974638638933264,0.974638638933264,493737.5,5720504.333333333,41.446666666666665,343.5140329996745,0.0130036970284295
Paderborn,PA-09,3,0.106153,1.1160821078009264,1.1160821078009264,479300.3333333333,5710614.666666667,27.456666666666667,357.20140584309894,0.015180189738017
Paderborn,PA-10,7,0.2070975714285714,1.0853241854993263,1.0853241854993267,486855.7142857143,5712999.0,43.24571428571429,305.5741925920759,0.0150593266065702
Paderborn,PA-11,10,0.0801518,0.9832684462849878,0.9832684462849878,487452.1,5707456.7,20.921,379.495849609375,0.015441794070282
Paderborn,PA-12,2,0.07385,1.1273848582791406,1.1273848582791406,485450.5,5706404.0,24.85,382.79942321777344,0.0078884469411919
Rheda-Beckum,RB-01,1,0.0308509999999999,0.9887820587437436,0.9887820587437436,447335.0,5743671.0,0.48,80.08007049560547,0.0148600690830557
Rheda-Beckum,RB-02,2,0.0487135,0.969978381850604,0.969978381850604,447765.0,5742425.5,2.02,87.23614883422852,0.0158086307265264
Rheda-Beckum,RB-03,2,0.032256,0.9476793215379016,0.9476793215379016,445476.5,5741835.5,7.235,101.89288330078124,0.0068149106910569
Rheda-Beckum,RB-04,2,0.0394655,1.026668607604285,1.026668607604285,431192.0,5735874.5,3.735,110.00858306884766,0.0148600690830557
Rheda-Beckum,RB-05,1,0.0041419999999999,1.059791604315475,1.059791604315475,429587.0,5734861.0,2.82,102.76537322998048,0.0148600690830557
