standort,ostwert_utm32_m,nordwert_utm32_m,gelaendehoehe_positionsdaten_m,nabenhoehe_m,betriebsbeginn,betriebsende
Ostfriesland,420807,5946618,1.2,50.0,1995-11-29,
Ostfriesland,398014,5944827,1.0,64.0,2011-04-21,
Ostfriesland,399191,5945265,0.6,64.0,2009-03-04,
Ostfriesland,398158,5944513,0.8,135.0,2014-12-23,
Ostfriesland,398479,5944521,0.8,113.5,2014-10-23,
Ostfriesland,397796,5944427,0.8,64.0,2011-06-22,
Ostfriesland,398437,5944164,0.6,135.0,2014-12-26,
Ostfriesland,397739,5944165,0.8,64.0,2011-06-17,
Ostfriesland,397882,5943882,0.6,135.4,2015-06-08,
Ostfriesland,398917,5943945,0.8,138.0,2014-12-04,
Ostfriesland,398354,5943674,0.6,40.5,1994-03-07,
Ostfriesland,398097,5943661,0.8,64.0,2011-05-23,
Ostfriesland,398691,5943619,0.5,40.5,1994-03-07,
Ostfriesland,397698,5943524,0.8,135.4,2015-05-08,
Ostfriesland,397392,5943519,0.9,64.0,2011-03-17,
Ostfriesland,399057,5943498,0.6,64.0,2011-05-30,
Ostfriesland,398264,5943298,0.7,64.0,2011-04-07,
Ostfriesland,398597,5943244,0.7,64.0,2011-05-07,
Ostfriesland,397589,5943212,0.7,135.4,2015-08-21,
Ostfriesland,398926,5943245,0.4,138.0,2014-10-06,
Ostfriesland,395824,5944375,1.2,50.0,1994-09-01,
Ostfriesland,397950,5943123,1.1,135.0,2014-12-29,
Ostfriesland,398382,5943042,0.7,138.0,2014-10-17,
Ostfriesland,395843,5944166,1.1,50.0,1994-09-01,
Ostfriesland,396705,5943364,1.3,64.0,2011-02-14,
Ostfriesland,395861,5943971,1.2,50.0,1994-08-30,
Ostfriesland,399149,5943073,0.8,113.0,2014-07-26,
Ostfriesland,398715,5942939,0.5,108.0,2013-12-03,
Ostfriesland,396260,5943540,1.0,64.0,2011-06-28,
Ostfriesland,395520,5944267,0.9,50.0,1994-03-22,
Ostfriesland,397818,5942847,0.9,64.0,2011-05-13,
Ostfriesland,395880,5943767,1.1,50.0,1994-08-25,
Ostfriesland,395350,5944439,1.1,50.0,1996-08-22,
Ostfriesland,398187,5942766,0.8,108.0,2009-01-09,
Ostfriesland,398970,5942854,0.7,98.0,2013-12-05,
Ostfriesland,395557,5944080,1.1,50.0,1994-01-04,
Ostfriesland,398541,5942760,0.6,108.0,2009-01-20,
Ostfriesland,397520,5942733,0.7,138.0,2014-11-20,
Ostfriesland,396448,5943149,1.4,138.0,2014-09-16,
Ostfriesland,395908,5943544,1.2,50.0,1994-08-25,
Ostfriesland,397992,5942661,0.8,108.4,2013-11-12,
Ostfriesland,400978,5944170,1.1,104.0,2014-07-31,
Ostfriesland,396647,5942958,1.3,64.0,2011-03-01,
Ostfriesland,395632,5943704,1.1,50.0,1994-01-04,
Ostfriesland,398193,5942534,0.9,67.0,1998-03-01,
Ostfriesland,395196,5944191,0.9,50.0,1994-07-08,
Ostfriesland,398890,5942585,0.9,108.0,2009-01-20,
Ostfriesland,398571,5942513,0.9,67.0,1998-03-01,
Ostfriesland,401666,5945459,1.1,64.0,2017-04-28,
Ostfriesland,395772,5943395,1.0,135.4,2016-12-15,
Ostfriesland,397833,5942443,0.7,67.0,1998-03-01,
Ostfriesland,399233,5942586,1.0,108.0,2009-01-16,
Ostfriesland,395191,5943987,0.9,50.0,1994-07-19,
Ostfriesland,396233,5942958,1.4,64.0,2011-02-24,
Ostfriesland,396606,5942750,1.1,113.0,2014-07-03,
Ostfriesland,397404,5942449,1.1,108.0,2014-10-06,
Ostfriesland,396807,5942601,1.1,108.0,2014-12-05,
Ostfriesland,395238,5943784,0.8,50.0,1993-12-30,
Ostfriesland,397029,5942474,0.8,108.0,2014-12-12,
Ostfriesland,399447,5942517,0.9,108.0,2013-12-30,
Ostfriesland,397616,5942312,1.1,108.0,2014-09-26,
Ostfriesland,401874,5945570,1.3,64.0,2017-05-24,
Ostfriesland,401852,5945346,1.1,64.0,2017-04-28,
Ostfriesland,398212,5942259,0.8,67.0,1998-03-01,
Ostfriesland,396347,5942724,1.1,64.0,2011-02-22,
Ostfriesland,401161,5943701,0.8,98.4,2014-07-30,
Ostfriesland,398583,5942206,0.9,67.0,1998-03-01,
Ostfriesland,396579,5942498,1.1,108.0,2014-12-15,
Ostfriesland,397811,5942157,0.7,67.0,1998-03-01,
Ostfriesland,395747,5942983,0.3,135.4,2017-08-29,
Ostfriesland,395334,5943364,0.7,50.0,1994-08-04,
Ostfriesland,395439,5943245,0.8,135.4,2016-12-20,
Ostfriesland,396780,5942352,1.0,67.0,1997-03-01,
Ostfriesland,399418,5942293,0.8,108.0,2009-01-13,
Ostfriesland,396003,5942741,1.4,99.0,2017-07-31,
Ostfriesland,399698,5942379,0.9,108.0,2009-01-21,
Ostfriesland,402025,5945200,1.1,64.0,2017-05-24,
Ostfriesland,402088,5945457,1.1,64.0,2017-04-28,
Ostfriesland,397511,5942096,1.0,108.0,2014-09-26,
Ostfriesland,399084,5942117,0.8,98.0,2009-01-14,
Ostfriesland,396346,5942390,1.1,108.0,2014-11-27,
Ostfriesland,398248,5941948,0.8,67.0,1998-03-01,
Ostfriesland,402222,5945653,1.0,64.0,2014-11-11,
Ostfriesland,402151,5945025,1.2,64.0,2017-05-31,
Ostfriesland,398893,5941960,0.6,108.4,2013-12-18,
Ostfriesland,398651,5941909,0.8,67.0,1998-03-01,
Ostfriesland,402236,5945297,0.9,64.0,2017-04-28,
Ostfriesland,399403,5942040,1.2,108.0,2009-01-20,
Ostfriesland,397997,5941854,0.7,67.0,1998-03-01,
Ostfriesland,396728,5942107,0.6,108.0,2014-12-16,
Ostfriesland,395467,5942837,0.4,64.0,2013-05-27,
Ostfriesland,402186,5944810,1.1,64.0,2016-12-27,
Ostfriesland,400099,5942271,1.3,135.0,2016-12-05,
Ostfriesland,402355,5945476,0.7,64.0,2017-04-28,
Ostfriesland,397671,5941808,0.8,67.0,1998-03-01,
Ostfriesland,395042,5943147,0.9,85.0,2014-06-16,
Ostfriesland,402345,5945111,0.8,64.0,2017-05-29,
Ostfriesland,402216,5944588,1.4,64.0,2017-04-28,
Ostfriesland,394587,5943659,0.9,64.0,2014-02-07,
Ostfriesland,398375,5941714,0.7,67.0,1998-03-01,
Ostfriesland,395595,5942512,0.8,135.4,2017-09-08,
Ostfriesland,402494,5945652,1.2,64.0,2016-03-23,
Ostfriesland,400547,5942342,1.6,135.0,2016-12-22,
Ostfriesland,402501,5945311,1.1,64.0,2016-12-30,
Ostfriesland,396517,5941934,1.2,75.0,2005-06-16,
