standort,referenzcluster,zielcluster,log_transferfehler
Alpen-Sevelen,AS-01,AS-02,0.0001373244601449
Alpen-Sevelen,AS-01,AS-03,-0.055563033626943
Alpen-Sevelen,AS-01,AS-04,-0.0258162725042685
Alpen-Sevelen,AS-01,AS-05,-0.0680971622883619
Alpen-Sevelen,AS-01,AS-06,-0.0704713948933025
Alpen-Sevelen,AS-02,AS-01,-0.000137324460145
Alpen-Sevelen,AS-02,AS-03,-0.0557003580870881
Alpen-Sevelen,AS-02,AS-04,-0.0259535969644133
Alpen-Sevelen,AS-02,AS-05,-0.0682344867485068
Alpen-Sevelen,AS-02,AS-06,-0.0706087193534474
Alpen-Sevelen,AS-03,AS-01,0.055563033626943
Alpen-Sevelen,AS-03,AS-02,0.0557003580870882
Alpen-Sevelen,AS-03,AS-04,0.0297467611226747
Alpen-Sevelen,AS-03,AS-05,-0.0125341286614187
Alpen-Sevelen,AS-03,AS-06,-0.0149083612663593
Alpen-Sevelen,AS-04,AS-01,0.0258162725042683
Alpen-Sevelen,AS-04,AS-02,0.0259535969644134
Alpen-Sevelen,AS-04,AS-03,-0.0297467611226746
Alpen-Sevelen,AS-04,AS-05,-0.0422808897840934
Alpen-Sevelen,AS-04,AS-06,-0.044655122389034
Alpen-Sevelen,AS-05,AS-01,0.0680971622883618
Alpen-Sevelen,AS-05,AS-02,0.0682344867485069
Alpen-Sevelen,AS-05,AS-03,0.0125341286614188
Alpen-Sevelen,AS-05,AS-04,0.0422808897840936
Alpen-Sevelen,AS-05,AS-06,-0.0023742326049406
Alpen-Sevelen,AS-06,AS-01,0.0704713948933025
Alpen-Sevelen,AS-06,AS-02,0.0706087193534475
Alpen-Sevelen,AS-06,AS-03,0.0149083612663595
Alpen-Sevelen,AS-06,AS-04,0.0446551223890342
Alpen-Sevelen,AS-06,AS-05,0.0023742326049407
Altenmellrich,AM-01,AM-02,0.1592664316940661
Altenmellrich,AM-01,AM-03,0.0918184382035116
Altenmellrich,AM-01,AM-04,0.1979915169253157
Altenmellrich,AM-02,AM-01,-0.1592664316940662
Altenmellrich,AM-02,AM-03,-0.0674479934905546
Altenmellrich,AM-02,AM-04,0.0387250852312497
Altenmellrich,AM-03,AM-01,-0.0918184382035119
Altenmellrich,AM-03,AM-02,0.0674479934905542
Altenmellrich,AM-03,AM-04,0.106173078721804
Altenmellrich,AM-04,AM-01,-0.197991516925316
Altenmellrich,AM-04,AM-02,-0.0387250852312496
Altenmellrich,AM-04,AM-03,-0.1061730787218041
Bad Berleburg,BB-01,BB-02,0.0707342876745826
Bad Berleburg,BB-01,BB-03,0.0649343802750027
Bad Berleburg,BB-01,BB-04,0.1594699360377069
Bad Berleburg,BB-01,BB-05,0.1851583625861865
Bad Berleburg,BB-01,BB-06,0.1924377154810859
Bad Berleburg,BB-01,BB-07,0.1051849002383413
Bad Berleburg,BB-02,BB-01,-0.0707342876745827
Bad Berleburg,BB-02,BB-03,-0.0057999073995799
Bad Berleburg,BB-02,BB-04,0.0887356483631242
Bad Berleburg,BB-02,BB-05,0.1144240749116039
Bad Berleburg,BB-02,BB-06,0.1217034278065032
Bad Berleburg,BB-02,BB-07,0.0344506125637585
Bad Berleburg,BB-03,BB-01,-0.0649343802750027
Bad Berleburg,BB-03,BB-02,0.00579990739958
Bad Berleburg,BB-03,BB-04,0.0945355557627041
Bad Berleburg,BB-03,BB-05,0.1202239823111837
Bad Berleburg,BB-03,BB-06,0.127503335206083
Bad Berleburg,BB-03,BB-07,0.0402505199633387
Bad Berleburg,BB-04,BB-01,-0.159469936037707
Bad Berleburg,BB-04,BB-02,-0.0887356483631244
Bad Berleburg,BB-04,BB-03,-0.0945355557627041
Bad Berleburg,BB-04,BB-05,0.0256884265484795
Bad Berleburg,BB-04,BB-06,0.0329677794433788
Bad Berleburg,BB-04,BB-07,-0.0542850357993656
Bad Berleburg,BB-05,BB-01,-0.1851583625861867
Bad Berleburg,BB-05,BB-02,-0.1144240749116039
Bad Berleburg,BB-05,BB-03,-0.1202239823111838
Bad Berleburg,BB-05,BB-04,-0.0256884265484796
Bad Berleburg,BB-05,BB-06,0.0072793528948991
Bad Berleburg,BB-05,BB-07,-0.0799734623478453
Bad Berleburg,BB-06,BB-01,-0.1924377154810858
Bad Berleburg,BB-06,BB-02,-0.1217034278065032
Bad Berleburg,BB-06,BB-03,-0.1275033352060831
Bad Berleburg,BB-06,BB-04,-0.0329677794433789
Bad Berleburg,BB-06,BB-05,-0.0072793528948992
Bad Berleburg,BB-06,BB-07,-0.0872528152427446
Bad Berleburg,BB-07,BB-01,-0.1051849002383413
Bad Berleburg,BB-07,BB-02,-0.0344506125637585
Bad Berleburg,BB-07,BB-03,-0.0402505199633385
Bad Berleburg,BB-07,BB-04,0.0542850357993655
Bad Berleburg,BB-07,BB-05,0.0799734623478451
Bad Berleburg,BB-07,BB-06,0.0872528152427446
Borken-Coesfeld,BC-01,BC-02,-0.0028732311584711
Borken-Coesfeld,BC-01,BC-03,-0.0420099803813125
Borken-Coesfeld,BC-01,BC-04,-0.0365606760164272
Borken-Coesfeld,BC-01,BC-05,-0.0455008259389265
Borken-Coesfeld,BC-01,BC-06,0.012088139413076
Borken-Coesfeld,BC-02,BC-01,0.0028732311584711
Borken-Coesfeld,BC-02,BC-03,-0.0391367492228414
Borken-Coesfeld,BC-02,BC-04,-0.0336874448579561
Borken-Coesfeld,BC-02,BC-05,-0.0426275947804554
Borken-Coesfeld,BC-02,BC-06,0.0149613705715469
Borken-Coesfeld,BC-03,BC-01,0.0420099803813125
Borken-Coesfeld,BC-03,BC-02,0.0391367492228416
Borken-Coesfeld,BC-03,BC-04,0.0054493043648854
Borken-Coesfeld,BC-03,BC-05,-0.003490845557614
Borken-Coesfeld,BC-03,BC-06,0.0540981197943885
Borken-Coesfeld,BC-04,BC-01,0.0365606760164272
Borken-Coesfeld,BC-04,BC-02,0.033687444857956
Borken-Coesfeld,BC-04,BC-03,-0.0054493043648855
Borken-Coesfeld,BC-04,BC-05,-0.0089401499224994
Borken-Coesfeld,BC-04,BC-06,0.0486488154295031
Borken-Coesfeld,BC-05,BC-01,0.0455008259389266
Borken-Coesfeld,BC-05,BC-02,0.0426275947804556
Borken-Coesfeld,BC-05,BC-03,0.0034908455576141
Borken-Coesfeld,BC-05,BC-04,0.0089401499224993
Borken-Coesfeld,BC-05,BC-06,0.0575889653520025
Borken-Coesfeld,BC-06,BC-01,-0.012088139413076
Borken-Coesfeld,BC-06,BC-02,-0.014961370571547
Borken-Coesfeld,BC-06,BC-03,-0.0540981197943885
Borken-Coesfeld,BC-06,BC-04,-0.0486488154295032
Borken-Coesfeld,BC-06,BC-05,-0.0575889653520026
Lorup,LO-01,LO-02,0.0207310617632816
Lorup,LO-01,LO-03,0.0091301305521151
Lorup,LO-02,LO-01,-0.0207310617632816
Lorup,LO-02,LO-03,-0.0116009312111668
Lorup,LO-03,LO-01,-0.0091301305521148
Lorup,LO-03,LO-02,0.011600931211167
Ostfriesland,OF-01,OF-02,0.0409321496664768
Ostfriesland,OF-01,OF-03,-0.0079390705474034
Ostfriesland,OF-01,OF-04,0.0070821851976402
Ostfriesland,OF-02,OF-01,-0.0409321496664767
Ostfriesland,OF-02,OF-03,-0.0488712202138802
Ostfriesland,OF-02,OF-04,-0.0338499644688366
Ostfriesland,OF-03,OF-01,0.0079390705474036
Ostfriesland,OF-03,OF-02,0.0488712202138804
Ostfriesland,OF-03,OF-04,0.0150212557450438
Ostfriesland,OF-04,OF-01,-0.0070821851976401
Ostfriesland,OF-04,OF-02,0.0338499644688368
Ostfriesland,OF-04,OF-03,-0.0150212557450436
Paderborn,PA-01,PA-02,-0.1282878981905928
Paderborn,PA-01,PA-03,-0.0275957558000738
Paderborn,PA-01,PA-04,-0.0722984296040557
Paderborn,PA-01,PA-05,-0.035956862339729
Paderborn,PA-01,PA-06,0.0739034845154043
Paderborn,PA-01,PA-07,0.0125925084470203
Paderborn,PA-01,PA-08,-0.0209432325618497
Paderborn,PA-01,PA-09,0.1145697054076754
Paderborn,PA-01,PA-10,0.0866240016992941
Paderborn,PA-01,PA-11,-0.0121278364658166
Paderborn,PA-01,PA-12,0.1246459367763968
Paderborn,PA-02,PA-01,0.1282878981905929
Paderborn,PA-02,PA-03,0.100692142390519
Paderborn,PA-02,PA-04,0.0559894685865373
Paderborn,PA-02,PA-05,0.0923310358508638
Paderborn,PA-02,PA-06,0.2021913827059971
Paderborn,PA-02,PA-07,0.140880406637613
Paderborn,PA-02,PA-08,0.107344665628743
Paderborn,PA-02,PA-09,0.2428576035982683
Paderborn,PA-02,PA-10,0.214911899889887
Paderborn,PA-02,PA-11,0.1161600617247762
Paderborn,PA-02,PA-12,0.2529338349669897
Paderborn,PA-03,PA-01,0.027595755800074
Paderborn,PA-03,PA-02,-0.1006921423905188
Paderborn,PA-03,PA-04,-0.0447026738039818
Paderborn,PA-03,PA-05,-0.0083611065396551
Paderborn,PA-03,PA-06,0.1014992403154782
Paderborn,PA-03,PA-07,0.040188264247094
Paderborn,PA-03,PA-08,0.0066525232382241
Paderborn,PA-03,PA-09,0.1421654612077492
Paderborn,PA-03,PA-10,0.114219757499368
Paderborn,PA-03,PA-11,0.0154679193342573
Paderborn,PA-03,PA-12,0.1522416925764708
Paderborn,PA-04,PA-01,0.0722984296040556
Paderborn,PA-04,PA-02,-0.0559894685865369
Paderborn,PA-04,PA-03,0.0447026738039819
Paderborn,PA-04,PA-05,0.0363415672643267
Paderborn,PA-04,PA-06,0.1462019141194601
Paderborn,PA-04,PA-07,0.0848909380510759
Paderborn,PA-04,PA-08,0.0513551970422059
Paderborn,PA-04,PA-09,0.1868681350117312
Paderborn,PA-04,PA-10,0.15892243130335
Paderborn,PA-04,PA-11,0.0601705931382392
Paderborn,PA-04,PA-12,0.1969443663804528
Paderborn,PA-05,PA-01,0.0359568623397289
Paderborn,PA-05,PA-02,-0.092331035850864
Paderborn,PA-05,PA-03,0.0083611065396549
Paderborn,PA-05,PA-04,-0.0363415672643268
Paderborn,PA-05,PA-06,0.1098603468551331
Paderborn,PA-05,PA-07,0.048549370786749
Paderborn,PA-05,PA-08,0.0150136297778789
Paderborn,PA-05,PA-09,0.1505265677474043
Paderborn,PA-05,PA-10,0.1225808640390229
Paderborn,PA-05,PA-11,0.0238290258739123
Paderborn,PA-05,PA-12,0.1606027991161258
Paderborn,PA-06,PA-01,-0.0739034845154044
Paderborn,PA-06,PA-02,-0.2021913827059973
Paderborn,PA-06,PA-03,-0.1014992403154782
Paderborn,PA-06,PA-04,-0.1462019141194599
Paderborn,PA-06,PA-05,-0.1098603468551334
Paderborn,PA-06,PA-07,-0.0613109760683842
Paderborn,PA-06,PA-08,-0.0948467170772541
Paderborn,PA-06,PA-09,0.040666220892271
Paderborn,PA-06,PA-10,0.0127205171838897
Paderborn,PA-06,PA-11,-0.0860313209812209
Paderborn,PA-06,PA-12,0.0507424522609927
Paderborn,PA-07,PA-01,-0.0125925084470201
Paderborn,PA-07,PA-02,-0.140880406637613
Paderborn,PA-07,PA-03,-0.0401882642470939
Paderborn,PA-07,PA-04,-0.0848909380510758
Paderborn,PA-07,PA-05,-0.0485493707867492
Paderborn,PA-07,PA-06,0.0613109760683841
Paderborn,PA-07,PA-08,-0.0335357410088699
Paderborn,PA-07,PA-09,0.1019771969606551
Paderborn,PA-07,PA-10,0.074031493252274
Paderborn,PA-07,PA-11,-0.0247203449128367
Paderborn,PA-07,PA-12,0.1120534283293767
Paderborn,PA-08,PA-01,0.0209432325618498
Paderborn,PA-08,PA-02,-0.1073446656287428
Paderborn,PA-08,PA-03,-0.0066525232382238
Paderborn,PA-08,PA-04,-0.0513551970422057
Paderborn,PA-08,PA-05,-0.0150136297778789
Paderborn,PA-08,PA-06,0.0948467170772543
Paderborn,PA-08,PA-07,0.0335357410088703
Paderborn,PA-08,PA-09,0.1355129379695253
Paderborn,PA-08,PA-10,0.1075672342611442
Paderborn,PA-08,PA-11,0.0088153960960334
Paderborn,PA-08,PA-12,0.1455891693382469
Paderborn,PA-09,PA-01,-0.1145697054076753
Paderborn,PA-09,PA-02,-0.2428576035982681
Paderborn,PA-09,PA-03,-0.1421654612077492
Paderborn,PA-09,PA-04,-0.1868681350117311
Paderborn,PA-09,PA-05,-0.1505265677474044
Paderborn,PA-09,PA-06,-0.040666220892271
Paderborn,PA-09,PA-07,-0.101977196960655
Paderborn,PA-09,PA-08,-0.1355129379695251
Paderborn,PA-09,PA-10,-0.0279457037083811
Paderborn,PA-09,PA-11,-0.1266975418734919
Paderborn,PA-09,PA-12,0.0100762313687216
Paderborn,PA-10,PA-01,-0.0866240016992944
Paderborn,PA-10,PA-02,-0.2149118998898871
Paderborn,PA-10,PA-03,-0.1142197574993681
Paderborn,PA-10,PA-04,-0.15892243130335
Paderborn,PA-10,PA-05,-0.1225808640390233
Paderborn,PA-10,PA-06,-0.0127205171838898
Paderborn,PA-10,PA-07,-0.074031493252274
Paderborn,PA-10,PA-08,-0.1075672342611441
Paderborn,PA-10,PA-09,0.027945703708381
Paderborn,PA-10,PA-11,-0.0987518381651108
Paderborn,PA-10,PA-12,0.0380219350771026
Paderborn,PA-11,PA-01,0.0121278364658165
Paderborn,PA-11,PA-02,-0.1161600617247762
Paderborn,PA-11,PA-03,-0.0154679193342573
Paderborn,PA-11,PA-04,-0.0601705931382391
Paderborn,PA-11,PA-05,-0.0238290258739124
Paderborn,PA-11,PA-06,0.0860313209812209
Paderborn,PA-11,PA-07,0.0247203449128367
Paderborn,PA-11,PA-08,-0.0088153960960332
Paderborn,PA-11,PA-09,0.1266975418734919
Paderborn,PA-11,PA-10,0.0987518381651107
Paderborn,PA-11,PA-12,0.1367737732422136
Paderborn,PA-12,PA-01,-0.1246459367763969
Paderborn,PA-12,PA-02,-0.2529338349669898
Paderborn,PA-12,PA-03,-0.1522416925764709
Paderborn,PA-12,PA-04,-0.1969443663804527
Paderborn,PA-12,PA-05,-0.1606027991161261
Paderborn,PA-12,PA-06,-0.0507424522609928
Paderborn,PA-12,PA-07,-0.1120534283293767
Paderborn,PA-12,PA-08,-0.1455891693382468
Paderborn,PA-12,PA-09,-0.0100762313687216
Paderborn,PA-12,PA-10,-0.0380219350771028
Paderborn,PA-12,PA-11,-0.1367737732422137
Rheda-Beckum,RB-01,RB-02,-0.0192001575673234
Rheda-Beckum,RB-01,RB-03,-0.0424577654550246
Rheda-Beckum,RB-01,RB-04,0.0376005357569336
Rheda-Beckum,RB-01,RB-05,0.0693536260110317
Rheda-Beckum,RB-02,RB-01,0.0192001575673234
Rheda-Beckum,RB-02,RB-03,-0.0232576078877012
Rheda-Beckum,RB-02,RB-04,0.056800693324257
Rheda-Beckum,RB-02,RB-05,0.0885537835783552
Rheda-Beckum,RB-03,RB-01,0.0424577654550247
Rheda-Beckum,RB-03,RB-02,0.0232576078877014
Rheda-Beckum,RB-03,RB-04,0.0800583012119583
Rheda-Beckum,RB-03,RB-05,0.1118113914660566
Rheda-Beckum,RB-04,RB-01,-0.0376005357569337
Rheda-Beckum,RB-04,RB-02,-0.0568006933242568
Rheda-Beckum,RB-04,RB-03,-0.0800583012119581
Rheda-Beckum,RB-04,RB-05,0.0317530902540983
Rheda-Beckum,RB-05,RB-01,-0.0693536260110319
Rheda-Beckum,RB-05,RB-02,-0.0885537835783552
Rheda-Beckum,RB-05,RB-03,-0.1118113914660564
Rheda-Beckum,RB-05,RB-04,-0.0317530902540982
