standort,cluster,sektormitte_grad,sektorgewicht_0_bis_1,rauigkeitslaenge_sektor_m,waldanteil_sektor_0_bis_1,freie_windgeschwindigkeit_m_pro_s
Alpen-Sevelen,AS-01,0,0.0209172545535058,0.2106193846449817,0.2320136589453318,4.44
Alpen-Sevelen,AS-01,30,0.0291580281196095,0.1959514779047031,0.0505036472001694,4.756666666666667
Alpen-Sevelen,AS-01,60,0.0510844000118898,0.1817961576649736,0.0273297700334462,5.396666666666667
Alpen-Sevelen,AS-01,90,0.0455330186547237,0.2256373934593227,0.0614349639806138,5.446666666666666
Alpen-Sevelen,AS-01,120,0.0190074136346494,0.1952360223405132,0.0357796463803788,4.546666666666667
Alpen-Sevelen,AS-01,150,0.0792623938753332,0.3400890045493213,0.0772911117855736,6.236666666666667
Alpen-Sevelen,AS-01,180,0.1093895802117214,0.2575691440045511,0.1355494576815436,6.640000000000001
Alpen-Sevelen,AS-01,210,0.20740621341213,0.279007692774985,0.4698397241076882,7.1000000000000005
Alpen-Sevelen,AS-01,240,0.240825093079489,0.2259139682329859,0.2000574678424886,7.163333333333334
Alpen-Sevelen,AS-01,270,0.1132367721042929,0.2133208710790284,0.0204777879075455,6.359999999999999
Alpen-Sevelen,AS-01,300,0.0543371346337571,0.2556302002901613,0.091533626605877,5.413333333333334
Alpen-Sevelen,AS-01,330,0.0298426977088975,0.2386376456918577,0.3116543917126314,4.773333333333333
Alpen-Sevelen,AS-02,0,0.0189357455765609,0.3001922872598425,0.0461646328259882,4.41
Alpen-Sevelen,AS-02,30,0.0244192852916313,0.2177690837710699,0.0167570245471882,4.645
Alpen-Sevelen,AS-02,60,0.0486500357160729,0.3300380690597161,0.022870538674713,5.365
Alpen-Sevelen,AS-02,90,0.0489910897626338,0.3607305869302799,0.0324268150432518,5.625
Alpen-Sevelen,AS-02,120,0.0172358404072999,0.3116530178854048,0.0185954527322069,4.495
Alpen-Sevelen,AS-02,150,0.0631276759460517,0.1702566086990762,0.0125808623222024,5.82
Alpen-Sevelen,AS-02,180,0.1259585225998861,0.2655631272537169,0.0093867438628346,6.7
Alpen-Sevelen,AS-02,210,0.2109438530713225,0.28467196777403,0.0161502894654134,7.195
Alpen-Sevelen,AS-02,240,0.2439793486671529,0.2235042316780228,0.0410378525171073,7.245
Alpen-Sevelen,AS-02,270,0.1118463213575907,0.2221305311188929,0.0228562652294453,6.345
Alpen-Sevelen,AS-02,300,0.0555913789894179,0.2270958182232063,0.0382703870982045,5.4350000000000005
Alpen-Sevelen,AS-02,330,0.0303209026143788,0.1102976804700043,0.0124422940600675,4.75
Alpen-Sevelen,AS-03,0,0.0189769640378611,0.2323351354014645,0.1525450249914507,4.335
Alpen-Sevelen,AS-03,30,0.0286171108741619,0.2329910009385062,0.1896589200573776,4.68
Alpen-Sevelen,AS-03,60,0.0561532103496957,0.2445611383384172,0.0709318852067841,5.58
Alpen-Sevelen,AS-03,90,0.0299613042566805,0.2589373136262864,0.0470832358077008,5.025
Alpen-Sevelen,AS-03,120,0.0228149698124366,0.1992664451466015,0.0077695357915074,4.695
Alpen-Sevelen,AS-03,150,0.1004623164790479,0.2191207820299773,0.0093445430968561,6.54
Alpen-Sevelen,AS-03,180,0.0803805027196045,0.2563973828372961,0.1397014599550909,6.11
Alpen-Sevelen,AS-03,210,0.2002487330055332,0.25944691740912,0.1788782453015147,7.165
Alpen-Sevelen,AS-03,240,0.2677938815879458,0.2530904353335133,0.2163889815701765,7.305
Alpen-Sevelen,AS-03,270,0.1127668880355085,0.1669026232086403,0.0466604973490706,6.390000000000001
Alpen-Sevelen,AS-03,300,0.0551290657521083,0.1953161999282762,0.0533390320423058,5.4350000000000005
Alpen-Sevelen,AS-03,330,0.0266950530894156,0.2735994884765815,0.059790393161343,4.69
Alpen-Sevelen,AS-04,0,0.0207942875378892,0.265807495633781,0.1964169244289136,4.4275
Alpen-Sevelen,AS-04,30,0.0301358876485957,0.2216466256261705,0.0829903290901393,4.7525
Alpen-Sevelen,AS-04,60,0.0538348819485401,0.2840833926024848,0.1737070081120932,5.5325
Alpen-Sevelen,AS-04,90,0.0298200380309625,0.3305410297163205,0.0748524585406288,5.04
Alpen-Sevelen,AS-04,120,0.0202333552711264,0.2872697244221763,0.0259416047891176,4.5425
Alpen-Sevelen,AS-04,150,0.1014904910946107,0.1988237231834619,0.0078864265103791,6.5675
Alpen-Sevelen,AS-04,180,0.0889971608564003,0.2029526120190052,0.0087936663124479,6.33
Alpen-Sevelen,AS-04,210,0.1985348118768153,0.2842862843685333,0.0291939972784417,7.16
Alpen-Sevelen,AS-04,240,0.264815322525133,0.2150247968588453,0.042674050540133,7.305
Alpen-Sevelen,AS-04,270,0.1102003393166436,0.1678995051260371,0.0380150581708052,6.3475
Alpen-Sevelen,AS-04,300,0.0539233071042607,0.2570451644949497,0.0505481180611398,5.405
Alpen-Sevelen,AS-04,330,0.027220116789022,0.2221388121511425,0.1751625751445455,4.705
Alpen-Sevelen,AS-05,0,0.0197840767886385,0.2384353305898839,0.1037531945957836,4.38
Alpen-Sevelen,AS-05,30,0.0273779328934839,0.3104516192103954,0.1194401343427657,4.66
Alpen-Sevelen,AS-05,60,0.0528485037469195,0.2307365077215986,0.1314744985739896,5.576666666666667
Alpen-Sevelen,AS-05,90,0.0265378220723624,0.346768445621318,0.1475020082902105,4.913333333333333
Alpen-Sevelen,AS-05,120,0.0185869317732377,0.3565565695573651,0.2907906584872674,4.483333333333333
Alpen-Sevelen,AS-05,150,0.0975436435357383,0.3491050915489233,0.1825949876471141,6.4433333333333325
Alpen-Sevelen,AS-05,180,0.0933452425384116,0.1907722648476254,0.0405160931719818,6.413333333333334
Alpen-Sevelen,AS-05,210,0.203871467630055,0.2185263565000981,0.0060696561358607,7.296666666666667
Alpen-Sevelen,AS-05,240,0.2687922583670633,0.2301418453894361,0.0058286108729654,7.426666666666667
Alpen-Sevelen,AS-05,270,0.1118984474769942,0.1561108908051207,0.0470607454310727,6.390000000000001
Alpen-Sevelen,AS-05,300,0.0531109222212769,0.2679634232703509,0.0370255864025187,5.396666666666666
Alpen-Sevelen,AS-05,330,0.0263027509558181,0.2376668288883142,0.1868096300744182,4.66
Alpen-Sevelen,AS-06,0,0.0197568812636122,0.2501849496758503,0.1923453167033504,4.37
Alpen-Sevelen,AS-06,30,0.0280924376774316,0.2660469599154392,0.0215493559611745,4.69
Alpen-Sevelen,AS-06,60,0.0514268195084271,0.2396003516740966,0.0880391557051085,5.54
Alpen-Sevelen,AS-06,90,0.0264559849971929,0.3331996316487867,0.1592828295190307,4.91
Alpen-Sevelen,AS-06,120,0.0182020521355508,0.3354336721382833,0.2360804513122394,4.42
Alpen-Sevelen,AS-06,150,0.102119027047258,0.2925904487894084,0.0623781676413255,6.54
Alpen-Sevelen,AS-06,180,0.0920395137625272,0.199457011872694,0.0039148519696598,6.4
Alpen-Sevelen,AS-06,210,0.1993824481491362,0.2294459505663754,0.0053835800807537,7.18
Alpen-Sevelen,AS-06,240,0.267151895458147,0.2609391214925886,0.0050668457359135,7.38
Alpen-Sevelen,AS-06,270,0.1137334612765923,0.173949648577417,0.028360124686755,6.4
Alpen-Sevelen,AS-06,300,0.0548948250667919,0.2274487750470892,0.0414204787720046,5.46
Alpen-Sevelen,AS-06,330,0.0267446536573323,0.2256204390978727,0.0488597351642962,4.69
Altenmellrich,AM-01,0,0.0061240958945976,0.1415475044990894,0.0262075706671343,2.9775
Altenmellrich,AM-01,30,0.0082969785480711,0.1173702643225425,0.0324658418910616,3.1675
Altenmellrich,AM-01,60,0.0148296532796028,0.1389943960940175,0.125386636369458,3.705
Altenmellrich,AM-01,90,0.0275416476483583,0.1976056129996144,0.040736493211836,4.475
Altenmellrich,AM-01,120,0.0335151357138031,0.4548062710011866,0.0200887881898922,4.85
Altenmellrich,AM-01,150,0.0381301335550991,0.5836768333181206,0.111133166945642,4.745
Altenmellrich,AM-01,180,0.1775573359724794,0.6296082479140234,0.2296957386195224,6.795
Altenmellrich,AM-01,210,0.2965545750438507,0.7255956024446228,0.2320506881558191,6.83
Altenmellrich,AM-01,240,0.2309609932204728,0.4704194680330804,0.1015402719897823,6.297499999999999
Altenmellrich,AM-01,270,0.1102665890688048,0.2038757102384871,0.1538534412213361,5.405
Altenmellrich,AM-01,300,0.044723163831282,0.2083854444213984,0.0947408751878358,4.41
Altenmellrich,AM-01,330,0.0114996982235776,0.1971625275372535,0.0183955743498773,3.375
Altenmellrich,AM-02,0,0.0063803193472049,0.139883313237178,0.0545805600637064,3.14
Altenmellrich,AM-02,30,0.0081625307440402,0.121236777484756,0.0812463602624653,3.3
Altenmellrich,AM-02,60,0.0131049293455146,0.2092849829079494,0.0829479908622852,3.755
Altenmellrich,AM-02,90,0.024826822736519,0.1442634339468924,0.0230303277218488,4.52
Altenmellrich,AM-02,120,0.0267335819567059,0.5877075635801545,0.0421061170941652,4.58
Altenmellrich,AM-02,150,0.0327334716012972,0.586631718910372,0.2042731298860719,4.73
Altenmellrich,AM-02,180,0.1761861867713385,0.6573871204430117,0.4379601739125797,7.26
Altenmellrich,AM-02,210,0.3146469711778021,0.7441279661065212,0.4773893919201624,7.415
Altenmellrich,AM-02,240,0.2419998090292345,0.5532877605814697,0.1478416291362683,6.755
Altenmellrich,AM-02,270,0.1048636954840018,0.2191058259301857,0.1232216971697169,5.545
Altenmellrich,AM-02,300,0.0387869170957137,0.1927422923237516,0.130822665620075,4.404999999999999
Altenmellrich,AM-02,330,0.0115747647106271,0.1795809515282011,0.016112795532867,3.53
Altenmellrich,AM-03,0,0.0053122795093163,0.1316671064387651,0.082113592685905,2.9766666666666666
Altenmellrich,AM-03,30,0.0066856040233898,0.1886051480771759,0.0983963188765723,3.17
Altenmellrich,AM-03,60,0.0104527058110679,0.2896507617928227,0.3260758905536882,3.58
Altenmellrich,AM-03,90,0.0264350124535312,0.2144171467173108,0.1492654053606126,4.666666666666667
Altenmellrich,AM-03,120,0.0406889459017582,0.3880557254776178,0.021244655321265,5.263333333333333
Altenmellrich,AM-03,150,0.0444735023717652,0.5733118191114271,0.1530806433731006,5.3500000000000005
Altenmellrich,AM-03,180,0.1450075217118627,0.5899386767407503,0.1479063626626161,7.123333333333334
Altenmellrich,AM-03,210,0.3031517140048171,0.5937379330922128,0.0550625369227148,7.503333333333333
