position,standort,wakeverlust_anteil,reproduktionsguete_unkorrigiert
AS-P001,Alpen-Sevelen,0.028,1.0585929244254826
AS-P002,Alpen-Sevelen,0.0464449999999999,1.0321066281373332
AS-P003,Alpen-Sevelen,0.012467,1.047084214135614
AS-P004,Alpen-Sevelen,0.0098749999999999,1.061701394029009
AS-P005,Alpen-Sevelen,0.0202899999999999,1.0494656264380064
AS-P006,Alpen-Sevelen,0.0190749999999999,0.990676077552256
AS-P007,Alpen-Sevelen,0.042359,0.9835157931840612
AS-P008,Alpen-Sevelen,0.072304,0.9568596392858422
AS-P009,Alpen-Sevelen,0.153995,0.9458102240164444
AS-P010,Alpen-Sevelen,0.0720889999999999,1.003081222916526
AS-P011,Alpen-Sevelen,0.065809,1.0084774548944055
AS-P012,Alpen-Sevelen,0.0376059999999999,0.9379482319115924
AS-P013,Alpen-Sevelen,0.0648959999999999,0.9778224351113862
AS-P014,Alpen-Sevelen,0.0566259999999999,0.9659703026328152
AS-P015,Alpen-Sevelen,0.0347379999999999,0.9694434945566196
AM-P001,Altenmellrich,0.025638,0.9333260268835066
AM-P002,Altenmellrich,0.03682,0.9023358598168554
AM-P003,Altenmellrich,0.127206,0.8723215848589767
AM-P004,Altenmellrich,0.1606109999999999,0.867550615268957
AM-P005,Altenmellrich,0.01397,1.135854452802544
AM-P006,Altenmellrich,0.0777259999999999,0.9793438477023344
AM-P007,Altenmellrich,0.1594769999999999,0.9418580320427828
AM-P008,Altenmellrich,0.1333389999999999,1.0219462785713025
AM-P009,Altenmellrich,0.217938,0.9461050180744311
AM-P010,Altenmellrich,0.044178,1.0864239206919863
BC-P001,Borken-Coesfeld,0.0697419999999999,1.0311160053133208
BC-P002,Borken-Coesfeld,0.082898,1.013182469827057
BC-P003,Borken-Coesfeld,0.070343,1.0143327895255094
BC-P004,Borken-Coesfeld,0.0362799999999999,1.0003369977572654
BC-P005,Borken-Coesfeld,0.0717529999999999,1.0347871592510771
BC-P006,Borken-Coesfeld,0.056447,0.9753451175582214
BC-P007,Borken-Coesfeld,0.0598509999999999,0.979744312882502
BC-P008,Borken-Coesfeld,0.1342809999999999,1.0531339773277828
BC-P009,Borken-Coesfeld,0.108863,0.9511056308305036
BC-P010,Borken-Coesfeld,0.1288169999999999,0.9402911199710434
BC-P011,Borken-Coesfeld,0.0879569999999999,0.989899271033251
BC-P012,Borken-Coesfeld,0.088187,0.9762284467268396
BC-P013,Borken-Coesfeld,0.0324269999999999,0.99540346659527
BC-P014,Borken-Coesfeld,0.089218,0.9713445319628335
BC-P015,Borken-Coesfeld,0.0978679999999999,0.975356056977186
BC-P016,Borken-Coesfeld,0.0403879999999999,0.9756038734432622
BC-P017,Borken-Coesfeld,0.070062,1.0750826208458797
BC-P018,Borken-Coesfeld,0.082547,1.036235111220775
BC-P019,Borken-Coesfeld,0.1597779999999999,0.9968870790359868
BC-P020,Borken-Coesfeld,0.084581,1.0096454125006216
LO-P001,Lorup,0.1455649999999999,0.95505032248467
LO-P002,Lorup,0.099901,0.9888905181862366
LO-P003,Lorup,0.0734220000000001,0.9861856282759534
LO-P004,Lorup,0.090245,1.0318465569839474
LO-P005,Lorup,0.083127,0.9697514698010792
LO-P006,Lorup,0.099823,0.9706347972370896
LO-P007,Lorup,0.165335,0.969456527986258
LO-P008,Lorup,0.200145,0.9771206559739448
LO-P009,Lorup,0.2059359999999999,0.9741788399138512
LO-P010,Lorup,0.2462879999999999,1.0701874044784914
LO-P011,Lorup,0.2379099999999999,1.0027344878429578
LO-P012,Lorup,0.264685,1.0130213475378873
LO-P013,Lorup,0.224541,1.0234951990252448
LO-P014,Lorup,0.1674569999999999,1.0195431333303082
LO-P015,Lorup,0.2031629999999999,1.0104630706016935
LO-P016,Lorup,0.2063169999999999,1.023344282449518
LO-P017,Lorup,0.174794,1.143778429376335
LO-P018,Lorup,0.163117,1.025402330877987
LO-P019,Lorup,0.0473669999999999,1.0212080155487118
LO-P020,Lorup,0.081457,1.0178400729516406
LO-P021,Lorup,0.119966,0.9462144002583638
LO-P022,Lorup,0.1030459999999999,0.9895135805390376
LO-P023,Lorup,0.1081069999999999,1.021268447285769
OF-P001,Ostfriesland,0.136306,0.989361166842114
OF-P002,Ostfriesland,0.157367,1.0176611492938408
OF-P003,Ostfriesland,0.1329869999999999,1.0245013279196549
OF-P004,Ostfriesland,0.119757,1.0419572527565923
OF-P005,Ostfriesland,0.0474149999999999,0.957831540096118
OF-P006,Ostfriesland,0.1054210000000001,0.9593491821576638
OF-P007,Ostfriesland,0.0588299999999999,0.9764805343400508
