teststandort,modell,alpha,mae_direkte_fehlerprognose,rmse_direkte_fehlerprognose,spearman_rho_fehlerprognose
Alpen-Sevelen,Konstant,,0.0426747031724669,0.0491024449774588,
Alpen-Sevelen,Distanz,100.0,0.0426771552923811,0.0491081194746064,-0.5964285714285712
Alpen-Sevelen,Wald + Wind,1.0,0.0205278318520889,0.0268578232786409,0.4249999999999999
Alpen-Sevelen,Vollstaendig,1.0,0.0198493038767496,0.0240874162624262,0.3999999999999999
Altenmellrich,Konstant,,0.0536132813314203,0.0699696915578969,
Altenmellrich,Distanz,100.0,0.0536500435324798,0.0699993583254666,0.0285714285714285
Altenmellrich,Wald + Wind,1.0,0.0519428059113134,0.0645119256370635,0.4285714285714286
Altenmellrich,Vollstaendig,1.0,0.0534922848449245,0.0664316075335782,0.4285714285714286
Bad Berleburg,Konstant,,0.0436598438231357,0.0536726516839801,
Bad Berleburg,Distanz,100.0,0.0436600043239463,0.0536727047662202,0.4545454545454545
Bad Berleburg,Wald + Wind,1.0,0.0466005672604867,0.0586091911083062,0.0116883116883116
Bad Berleburg,Vollstaendig,1.0,0.0851608936115775,0.1026879452103497,-0.1675324675324675
Borken-Coesfeld,Konstant,,0.0528290286170746,0.0561360344969452,
Borken-Coesfeld,Distanz,100.0,0.052834883657226,0.0561392879328256,0.4392857142857142
Borken-Coesfeld,Wald + Wind,1.0,0.0280585993516361,0.0342527161312152,-0.1321428571428571
Borken-Coesfeld,Vollstaendig,1.0,0.0241889315275608,0.030368457688246,-0.1714285714285714
Lorup,Konstant,,0.0697581509141693,0.0699363538555178,
Lorup,Distanz,100.0,0.0697896203540726,0.0699678003145242,-0.5
Lorup,Wald + Wind,1.0,0.0518340234209268,0.0527831423848046,-1.0
Lorup,Vollstaendig,1.0,0.0477285688737847,0.0487430624359989,-1.0
Ostfriesland,Konstant,,0.0575418194072445,0.0598300070960438,
Ostfriesland,Distanz,100.0,0.0576911215437653,0.0599919950776164,-0.6
Ostfriesland,Wald + Wind,1.0,0.0272037782318453,0.0334178721052508,-0.4285714285714286
Ostfriesland,Vollstaendig,1.0,0.0272715875479024,0.0342615180177617,-0.7142857142857143
Paderborn,Konstant,,0.0516874017880189,0.0630699867266441,
Paderborn,Distanz,100.0,0.0517162398744299,0.0631113210788485,-0.4067007619246425
Paderborn,Wald + Wind,1.0,0.0514863664881365,0.060073355023706,0.2882580106460704
Paderborn,Vollstaendig,10.0,0.0501080007241164,0.0608351452914166,0.153073791879762
Rheda-Beckum,Konstant,,0.0320073124570106,0.0376784471787375,
Rheda-Beckum,Distanz,100.0,0.0320187450475207,0.0376933165558504,-0.6727272727272726
Rheda-Beckum,Wald + Wind,1.0,0.0196867968518084,0.0236209752534126,0.5636363636363636
Rheda-Beckum,Vollstaendig,1.0,0.0213407968555044,0.0275581849716367,0.5030303030303029
