standort,clusterpaar,modell,prognostiziertes_rms_logfehlerniveau
Alpen-Sevelen,AS-01--AS-02,Konstant,0.0818134928228002
Alpen-Sevelen,AS-01--AS-03,Konstant,0.0818134928228002
Alpen-Sevelen,AS-01--AS-04,Konstant,0.0818134928228002
Alpen-Sevelen,AS-01--AS-05,Konstant,0.0818134928228002
Alpen-Sevelen,AS-01--AS-06,Konstant,0.0818134928228002
Alpen-Sevelen,AS-02--AS-03,Konstant,0.0818134928228002
Alpen-Sevelen,AS-02--AS-04,Konstant,0.0818134928228002
Alpen-Sevelen,AS-02--AS-05,Konstant,0.0818134928228002
Alpen-Sevelen,AS-02--AS-06,Konstant,0.0818134928228002
Alpen-Sevelen,AS-03--AS-04,Konstant,0.0818134928228002
Alpen-Sevelen,AS-03--AS-05,Konstant,0.0818134928228002
Alpen-Sevelen,AS-03--AS-06,Konstant,0.0818134928228002
Alpen-Sevelen,AS-04--AS-05,Konstant,0.0818134928228002
Alpen-Sevelen,AS-04--AS-06,Konstant,0.0818134928228002
Alpen-Sevelen,AS-05--AS-06,Konstant,0.0818134928228002
Alpen-Sevelen,AS-01--AS-02,Distanz,0.0818225407435944
Alpen-Sevelen,AS-01--AS-03,Distanz,0.0818081356686668
Alpen-Sevelen,AS-01--AS-04,Distanz,0.0818115870296377
Alpen-Sevelen,AS-01--AS-05,Distanz,0.081811430194776
Alpen-Sevelen,AS-01--AS-06,Distanz,0.0818091873261914
Alpen-Sevelen,AS-02--AS-03,Distanz,0.0817986702603481
Alpen-Sevelen,AS-02--AS-04,Distanz,0.0818027374518804
Alpen-Sevelen,AS-02--AS-05,Distanz,0.0818045868492307
Alpen-Sevelen,AS-02--AS-06,Distanz,0.0818019417734639
Alpen-Sevelen,AS-03--AS-04,Distanz,0.081829771778086
Alpen-Sevelen,AS-03--AS-05,Distanz,0.081824236208042
Alpen-Sevelen,AS-03--AS-06,Distanz,0.0818259347822809
Alpen-Sevelen,AS-04--AS-05,Distanz,0.0818280902873463
Alpen-Sevelen,AS-04--AS-06,Distanz,0.081828803274258
Alpen-Sevelen,AS-05--AS-06,Distanz,0.0818315205129127
Alpen-Sevelen,AS-01--AS-02,Wald + Wind,0.0589281902772258
Alpen-Sevelen,AS-01--AS-03,Wald + Wind,0.0566796021282838
Alpen-Sevelen,AS-01--AS-04,Wald + Wind,0.0604531205664504
Alpen-Sevelen,AS-01--AS-05,Wald + Wind,0.0641487995481512
Alpen-Sevelen,AS-01--AS-06,Wald + Wind,0.0634147236738976
Alpen-Sevelen,AS-02--AS-03,Wald + Wind,0.0607308560440681
Alpen-Sevelen,AS-02--AS-04,Wald + Wind,0.0529064666787281
Alpen-Sevelen,AS-02--AS-05,Wald + Wind,0.0547313552744126
Alpen-Sevelen,AS-02--AS-06,Wald + Wind,0.0532670507593767
Alpen-Sevelen,AS-03--AS-04,Wald + Wind,0.0477931054092758
Alpen-Sevelen,AS-03--AS-05,Wald + Wind,0.0525201512311283
Alpen-Sevelen,AS-03--AS-06,Wald + Wind,0.050985054859685
Alpen-Sevelen,AS-04--AS-05,Wald + Wind,0.0454346407003331
Alpen-Sevelen,AS-04--AS-06,Wald + Wind,0.0426593146281468
Alpen-Sevelen,AS-05--AS-06,Wald + Wind,0.0426556071798321
Alpen-Sevelen,AS-01--AS-02,Vollstaendig,0.0498507392665761
Alpen-Sevelen,AS-01--AS-03,Vollstaendig,0.0495195042357818
Alpen-Sevelen,AS-01--AS-04,Vollstaendig,0.0515232084162551
Alpen-Sevelen,AS-01--AS-05,Vollstaendig,0.0559200112243496
Alpen-Sevelen,AS-01--AS-06,Vollstaendig,0.0550638931052912
Alpen-Sevelen,AS-02--AS-03,Vollstaendig,0.0527128375234807
Alpen-Sevelen,AS-02--AS-04,Vollstaendig,0.0483517228557855
Alpen-Sevelen,AS-02--AS-05,Vollstaendig,0.049270666498854
Alpen-Sevelen,AS-02--AS-06,Vollstaendig,0.0485107649236329
Alpen-Sevelen,AS-03--AS-04,Vollstaendig,0.0428864238137794
Alpen-Sevelen,AS-03--AS-05,Vollstaendig,0.0466325711237868
Alpen-Sevelen,AS-03--AS-06,Vollstaendig,0.0459701298782839
Alpen-Sevelen,AS-04--AS-05,Vollstaendig,0.0415826138115635
Alpen-Sevelen,AS-04--AS-06,Vollstaendig,0.0396798901953503
Alpen-Sevelen,AS-05--AS-06,Vollstaendig,0.0406444547285243
Altenmellrich,AM-01--AM-02,Konstant,0.06557317145387
Altenmellrich,AM-01--AM-03,Konstant,0.06557317145387
Altenmellrich,AM-01--AM-04,Konstant,0.06557317145387
Altenmellrich,AM-02--AM-03,Konstant,0.06557317145387
Altenmellrich,AM-02--AM-04,Konstant,0.06557317145387
Altenmellrich,AM-03--AM-04,Konstant,0.06557317145387
Altenmellrich,AM-01--AM-02,Distanz,0.0655012230361386
Altenmellrich,AM-01--AM-03,Distanz,0.0655240620141045
Altenmellrich,AM-01--AM-04,Distanz,0.0655509037493132
Altenmellrich,AM-02--AM-03,Distanz,0.0655205614283614
Altenmellrich,AM-02--AM-04,Distanz,0.0655460759631591
Altenmellrich,AM-03--AM-04,Distanz,0.0655214383443651
Altenmellrich,AM-01--AM-02,Wald + Wind,0.060662663588042
Altenmellrich,AM-01--AM-03,Wald + Wind,0.0619009558192301
Altenmellrich,AM-01--AM-04,Wald + Wind,0.0879262162975643
Altenmellrich,AM-02--AM-03,Wald + Wind,0.0590024193034441
Altenmellrich,AM-02--AM-04,Wald + Wind,0.0647486506016564
Altenmellrich,AM-03--AM-04,Wald + Wind,0.0675719339294975
Altenmellrich,AM-01--AM-02,Vollstaendig,0.0592848248748353
Altenmellrich,AM-01--AM-03,Vollstaendig,0.0607746138525891
Altenmellrich,AM-01--AM-04,Vollstaendig,0.0830544194084926
Altenmellrich,AM-02--AM-03,Vollstaendig,0.0575326938276196
Altenmellrich,AM-02--AM-04,Vollstaendig,0.0644576796861791
Altenmellrich,AM-03--AM-04,Vollstaendig,0.066829792457098
Bad Berleburg,BB-01--BB-02,Konstant,0.074452064482292
Bad Berleburg,BB-01--BB-03,Konstant,0.074452064482292
Bad Berleburg,BB-01--BB-04,Konstant,0.074452064482292
Bad Berleburg,BB-01--BB-05,Konstant,0.074452064482292
Bad Berleburg,BB-01--BB-06,Konstant,0.074452064482292
Bad Berleburg,BB-01--BB-07,Konstant,0.074452064482292
Bad Berleburg,BB-02--BB-03,Konstant,0.074452064482292
Bad Berleburg,BB-02--BB-04,Konstant,0.074452064482292
Bad Berleburg,BB-02--BB-05,Konstant,0.074452064482292
Bad Berleburg,BB-02--BB-06,Konstant,0.074452064482292
Bad Berleburg,BB-02--BB-07,Konstant,0.074452064482292
Bad Berleburg,BB-03--BB-04,Konstant,0.074452064482292
Bad Berleburg,BB-03--BB-05,Konstant,0.074452064482292
Bad Berleburg,BB-03--BB-06,Konstant,0.074452064482292
Bad Berleburg,BB-03--BB-07,Konstant,0.074452064482292
Bad Berleburg,BB-04--BB-05,Konstant,0.074452064482292
Bad Berleburg,BB-04--BB-06,Konstant,0.074452064482292
Bad Berleburg,BB-04--BB-07,Konstant,0.074452064482292
Bad Berleburg,BB-05--BB-06,Konstant,0.074452064482292
Bad Berleburg,BB-05--BB-07,Konstant,0.074452064482292
Bad Berleburg,BB-06--BB-07,Konstant,0.074452064482292
Bad Berleburg,BB-01--BB-02,Distanz,0.0744485245641336
Bad Berleburg,BB-01--BB-03,Distanz,0.0744482824245657
Bad Berleburg,BB-01--BB-04,Distanz,0.0744492969641895
Bad Berleburg,BB-01--BB-05,Distanz,0.0744504489819804
Bad Berleburg,BB-01--BB-06,Distanz,0.0744516657077052
Bad Berleburg,BB-01--BB-07,Distanz,0.0744530080958075
Bad Berleburg,BB-02--BB-03,Distanz,0.0744480976240816
Bad Berleburg,BB-02--BB-04,Distanz,0.0744479062312545
Bad Berleburg,BB-02--BB-05,Distanz,0.0744489580004621
Bad Berleburg,BB-02--BB-06,Distanz,0.0744501185312607
Bad Berleburg,BB-02--BB-07,Distanz,0.074451317666113
Bad Berleburg,BB-03--BB-04,Distanz,0.0744475951526162
Bad Berleburg,BB-03--BB-05,Distanz,0.074448606373476
Bad Berleburg,BB-03--BB-06,Distanz,0.0744497831309956
Bad Berleburg,BB-03--BB-07,Distanz,0.0744511513785622
Bad Berleburg,BB-04--BB-05,Distanz,0.0744474831956053
Bad Berleburg,BB-04--BB-06,Distanz,0.0744487053774347
Bad Berleburg,BB-04--BB-07,Distanz,0.074450026733423
Bad Berleburg,BB-05--BB-06,Distanz,0.074447534697226
Bad Berleburg,BB-05--BB-07,Distanz,0.0744488738538049
