teststandort,modell,alpha,innerer_makro_mae,standardabweichung_innerer_standort_mae
Alpen-Sevelen,Distanz,0.01,0.0602909942580334,0.0187778722381702
Alpen-Sevelen,Distanz,0.1,0.0593760342276389,0.0178246373974115
Alpen-Sevelen,Distanz,1.0,0.0560209179747513,0.0147314097294856
Alpen-Sevelen,Distanz,10.0,0.0539148028161921,0.0131301880485637
Alpen-Sevelen,Distanz,100.0,0.0535956911042951,0.0129116696847186
Alpen-Sevelen,Wald + Wind,0.01,0.0517644278261793,0.0353782035930181
Alpen-Sevelen,Wald + Wind,0.1,0.0466392278718669,0.0271568800879132
Alpen-Sevelen,Wald + Wind,1.0,0.0405623817129756,0.0140496496451328
Alpen-Sevelen,Wald + Wind,10.0,0.0497427204675742,0.0120107493703623
Alpen-Sevelen,Wald + Wind,100.0,0.0531113498949636,0.012750159161569
Alpen-Sevelen,Vollstaendig,0.01,0.1012044518592712,0.1568019085873718
Alpen-Sevelen,Vollstaendig,0.1,0.0780085038673145,0.1035232808696489
Alpen-Sevelen,Vollstaendig,1.0,0.0454937728635381,0.0235385770223898
Alpen-Sevelen,Vollstaendig,10.0,0.0481222989945651,0.0114532124615869
Alpen-Sevelen,Vollstaendig,100.0,0.0527734714440679,0.0126608914095158
Altenmellrich,Distanz,0.01,0.0488504628618776,0.019369475789732
Altenmellrich,Distanz,0.1,0.0479598630631349,0.0178207928626511
Altenmellrich,Distanz,1.0,0.0449592048111768,0.0133513488302245
Altenmellrich,Distanz,10.0,0.0432010348677083,0.0117670979520829
Altenmellrich,Distanz,100.0,0.0429392314308738,0.0116308339025763
Altenmellrich,Wald + Wind,0.01,0.041862739331513,0.0313212152353893
Altenmellrich,Wald + Wind,0.1,0.0371419554365062,0.0223438595782944
Altenmellrich,Wald + Wind,1.0,0.0326870145984475,0.0133715803510009
Altenmellrich,Wald + Wind,10.0,0.0399607923706549,0.0119885014093083
Altenmellrich,Wald + Wind,100.0,0.0425557198746157,0.0116534610881196
Altenmellrich,Vollstaendig,0.01,0.0918655658139962,0.1545326784860026
Altenmellrich,Vollstaendig,0.1,0.0655284919305085,0.0900425863803089
Altenmellrich,Vollstaendig,1.0,0.035449412120312,0.0158123447436278
Altenmellrich,Vollstaendig,10.0,0.0381344730737439,0.012148078010346
Altenmellrich,Vollstaendig,100.0,0.0422420177678272,0.0116761373246206
Bad Berleburg,Distanz,0.01,0.0572291360508012,0.0176113746651509
Bad Berleburg,Distanz,0.1,0.0563544040776449,0.0168137489899843
Bad Berleburg,Distanz,1.0,0.0529396876941699,0.0140143173519058
Bad Berleburg,Distanz,10.0,0.0505410089881078,0.0123953786004752
Bad Berleburg,Distanz,100.0,0.0501395792960447,0.0121646939636824
Bad Berleburg,Wald + Wind,0.01,0.044547935885258,0.0455446859703194
Bad Berleburg,Wald + Wind,0.1,0.0408900020717941,0.0349054782600667
Bad Berleburg,Wald + Wind,1.0,0.0351235724716045,0.0167735393949305
Bad Berleburg,Wald + Wind,10.0,0.044393328561815,0.013056142421989
Bad Berleburg,Wald + Wind,100.0,0.0493846918626115,0.0122121214687319
Bad Berleburg,Vollstaendig,0.01,0.0404661997608884,0.0456723333108916
