rang,modell,makro_mae_direkte_fehlerprognose,median_standort_mae,groesster_standort_mae,anzahl_standorte_besser_als_wald_wind
1,Wald + Wind,0.0371675961710303,0.0373295833060614,0.0519428059113134,0
2,Gelaendehoehe + Wald + Wind,0.0380244617934022,0.0392991155164031,0.0553356552019898,4
3,Distanz + Wald + Wind,0.0381706141939135,0.0390493867264154,0.0536966695355014,2
4,Distanz + Rauigkeit + Wald + Wind,0.0387067135990376,0.0395255746492485,0.0568876790738081,1
5,Gelaendehoehe + Wind,0.0388095370707088,0.0362110301021413,0.0559889404327383,2
6,Distanz + Gelaendehoehe + Wald + Wind,0.0389437855788106,0.0404601028791061,0.0550497194861338,2
7,RIX + Gelaendehoehe + Wald + Wind,0.0389447719941544,0.0348140562963174,0.0768901209498445,6
8,RIX + Wald + Wind,0.0392055541097828,0.0353865419577128,0.0777315192955068,6
9,Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,0.0394341814230541,0.040860883894529,0.0544818267738901,1
10,RIX + Gelaendehoehe + Wind,0.0394646812305923,0.0314794792471004,0.0822368266601066,5
11,Distanz + Wind,0.0396345590342753,0.0423253542460173,0.0566549088648639,2
12,Distanz + Gelaendehoehe + Wind,0.0398565286104071,0.0390713672739377,0.0562478569831235,1
13,Distanz + RIX + Gelaendehoehe + Wald + Wind,0.0399962538737907,0.0368629493409805,0.0763141734513655,4
14,Distanz + RIX + Wald + Wind,0.0402675990395749,0.0381277864942417,0.0773077600271867,4
15,RIX + Rauigkeit + Wald + Wind,0.0403507806359719,0.0363291607963021,0.0853019097637429,6
16,RIX + Wind,0.0404626212076532,0.0333328633689351,0.0861423617189046,4
17,Distanz + Gelaendehoehe + Rauigkeit + Wind,0.0405604704910467,0.0411051549203733,0.0579021842332636,1
18,Distanz + RIX + Gelaendehoehe + Wind,0.0406504775308857,0.034489376562422,0.0816966505242014,4
19,Vollstaendig,0.041142545982765,0.0375000782108436,0.0851608936115775,4
20,RIX + Gelaendehoehe + Wald,0.0411959749327313,0.0396467790108423,0.0690315360459268,2
21,Distanz + RIX + Rauigkeit + Wald + Wind,0.0414286838001346,0.0392046721460091,0.0847666918006378,4
22,Distanz + RIX + Wind,0.0417527246295619,0.0368813696036272,0.0858206168749498,4
23,Distanz + RIX + Gelaendehoehe + Wald,0.0419629725432846,0.0414881166803968,0.0678211396912511,1
24,Distanz + RIX + Gelaendehoehe + Rauigkeit + Wind,0.0421991264162388,0.0360108725789839,0.0913744240808924,4
25,RIX + Gelaendehoehe,0.0422118783886371,0.0389472802083732,0.0754564435460217,1
26,RIX + Wald,0.0423982709710488,0.0409182198505597,0.0684415710867181,2
27,Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,0.0429864463845764,0.0414527455023742,0.0725887973799831,1
28,Gelaendehoehe + Wald,0.0432047085109144,0.0440893432327996,0.0675999630189713,1
29,RIX + Rauigkeit + Wald,0.0432261948523257,0.0415696762423251,0.0701654344627452,2
30,Distanz + RIX + Gelaendehoehe,0.043229059119371,0.042162247892095,0.0739600294491928,1
31,Distanz + RIX + Rauigkeit + Wind,0.0432747790300705,0.0389522613607789,0.0936192868342197,4
32,Distanz + RIX + Wald,0.0436647044064382,0.0435463781952816,0.0671744425726526,1
33,Gelaendehoehe + Rauigkeit + Wald,0.0438460169331096,0.0449460725684626,0.0715812602879182,1
34,Distanz + RIX + Gelaendehoehe + Rauigkeit,0.0444572380648439,0.0443762096719123,0.0785924797137698,0
35,Distanz + Gelaendehoehe + Wald,0.0444901119815325,0.0444107864595692,0.0699238337593792,1
36,Distanz + RIX + Rauigkeit + Wald,0.0445593068372126,0.0434551540777584,0.0692452046216447,1
37,Distanz + Gelaendehoehe + Rauigkeit + Wald,0.0451151485930496,0.044904267408614,0.0746464975510947,1
38,Rauigkeit + Wald + Wind,0.0458171345327712,0.0398464312709433,0.1125282429103459,2
39,Distanz + Gelaendehoehe,0.0462697634358978,0.048908067451133,0.0594987597206266,0
40,Rauigkeit + Wald,0.0463200623319528,0.045797415662928,0.0825241142129102,3
41,Gelaendehoehe + Rauigkeit + Wald + Wind,0.0465561424948714,0.04007506573036,0.1188842111372061,3
42,Distanz + Gelaendehoehe + Rauigkeit,0.0465626010707485,0.0475728183134711,0.0662625069811881,0
43,Gelaendehoehe + Rauigkeit,0.0470138414947618,0.0492612426289106,0.0641181840989929,0
44,Distanz + Wald,0.047517664377351,0.0452395120536538,0.0808660820565271,2
45,Distanz + Rauigkeit + Wald,0.0476801579092573,0.0446103602433154,0.0861335718321607,2
46,Gelaendehoehe + Rauigkeit + Wind,0.0491009490710257,0.0383277407097989,0.1346419815215979,2
47,Rauigkeit + Wind,0.049265222941298,0.0413364595123302,0.1307771747398899,2
48,Distanz + RIX,0.0508720144620749,0.050715437419996,0.0806538879988677,0
49,Distanz + RIX + Rauigkeit,0.0510588780201057,0.0506612194282731,0.079842247413439,0
50,Distanz + Rauigkeit + Wind,0.0513013725906566,0.0442111541235928,0.1387395697658492,2
51,Distanz + Rauigkeit,0.0517230563884654,0.0522619368635148,0.0795606157964095,1
52,RIX + Gelaendehoehe + Rauigkeit + Wald + Wind,0.0651430114132654,0.0351029482950746,0.2862290505770046,6
53,RIX + Gelaendehoehe + Rauigkeit + Wald,0.0663386179246483,0.0399080226929887,0.2706398902327727,3
54,RIX + Gelaendehoehe + Rauigkeit + Wind,0.0683435442178,0.0326716011991423,0.3109578562395184,5
55,RIX + Gelaendehoehe + Rauigkeit,0.0698594341841361,0.0415719621014366,0.2945361583291482,2
56,RIX + Rauigkeit + Wind,0.0712358141925402,0.0351480173049174,0.3284585357966545,4
57,RIX + Rauigkeit,0.0896513844543187,0.0448912119908508,0.4281334572784662,1
