modell,teststandort,alpha,mae_direkte_fehlerprognose
Distanz + RIX,Alpen-Sevelen,10.0,0.0392241667156165
Distanz + RIX,Altenmellrich,1.0,0.0572820839578046
Distanz + RIX,Bad Berleburg,1.0,0.0806538879988677
Distanz + RIX,Borken-Coesfeld,10.0,0.0496258983860194
Distanz + RIX,Lorup,1.0,0.0538985281569998
Distanz + RIX,Ostfriesland,1.0,0.0487636215698171
Distanz + RIX,Paderborn,10.0,0.0518049764539727
Distanz + RIX,Rheda-Beckum,1.0,0.0257229524575016
Distanz + Gelaendehoehe,Alpen-Sevelen,1.0,0.0291950331509046
Distanz + Gelaendehoehe,Altenmellrich,1.0,0.0537155025429609
Distanz + Gelaendehoehe,Bad Berleburg,1.0,0.0494948612221523
Distanz + Gelaendehoehe,Borken-Coesfeld,1.0,0.0449243993996768
Distanz + Gelaendehoehe,Lorup,1.0,0.0594987597206266
Distanz + Gelaendehoehe,Ostfriesland,1.0,0.0483212736801137
Distanz + Gelaendehoehe,Paderborn,1.0,0.0557668989173594
Distanz + Gelaendehoehe,Rheda-Beckum,1.0,0.029241378853388
Distanz + Rauigkeit,Alpen-Sevelen,100.0,0.0425383041404244
Distanz + Rauigkeit,Altenmellrich,100.0,0.0536787837416704
Distanz + Rauigkeit,Bad Berleburg,100.0,0.0436348376191963
Distanz + Rauigkeit,Borken-Coesfeld,100.0,0.0528266374091592
Distanz + Rauigkeit,Lorup,1.0,0.0795606157964095
Distanz + Rauigkeit,Ostfriesland,10.0,0.0579413190055043
Distanz + Rauigkeit,Paderborn,100.0,0.0516972363178704
Distanz + Rauigkeit,Rheda-Beckum,100.0,0.0319067170774885
Distanz + Wald,Alpen-Sevelen,1.0,0.0354854187687793
Distanz + Wald,Altenmellrich,10.0,0.0531222719339585
Distanz + Wald,Bad Berleburg,1.0,0.0451071065989586
Distanz + Wald,Borken-Coesfeld,1.0,0.0435245843701413
Distanz + Wald,Lorup,1.0,0.0808660820565271
Distanz + Wald,Ostfriesland,1.0,0.045371917508349
Distanz + Wald,Paderborn,1.0,0.0509715324120524
Distanz + Wald,Rheda-Beckum,1.0,0.0256924013700419
Distanz + Wind,Alpen-Sevelen,1.0,0.0225516795738422
Distanz + Wind,Altenmellrich,1.0,0.0566549088648639
Distanz + Wind,Bad Berleburg,1.0,0.0502758628389418
Distanz + Wind,Borken-Coesfeld,1.0,0.0305714527146607
Distanz + Wind,Lorup,1.0,0.0449562075465687
Distanz + Wind,Ostfriesland,1.0,0.0396945009454659
Distanz + Wind,Paderborn,1.0,0.0494659282501548
Distanz + Wind,Rheda-Beckum,1.0,0.0229059315397045
RIX + Gelaendehoehe,Alpen-Sevelen,1.0,0.0226742483172624
RIX + Gelaendehoehe,Altenmellrich,1.0,0.0519593810298619
RIX + Gelaendehoehe,Bad Berleburg,1.0,0.0754564435460217
