modell,teststandort,merkmal,koeffizient_standardisiert
Distanz + RIX,Alpen-Sevelen,distanz_m,-0.0027525443211824
Distanz + RIX,Alpen-Sevelen,mittlerer_rix_prozent,0.0616381393115897
Distanz + RIX,Altenmellrich,distanz_m,0.1758748329217794
Distanz + RIX,Altenmellrich,mittlerer_rix_prozent,0.4283649626633973
Distanz + RIX,Bad Berleburg,distanz_m,0.0619597380403295
Distanz + RIX,Bad Berleburg,mittlerer_rix_prozent,0.5285431903500983
Distanz + RIX,Borken-Coesfeld,distanz_m,0.0035773190531378
Distanz + RIX,Borken-Coesfeld,mittlerer_rix_prozent,0.058987958039271
Distanz + RIX,Lorup,distanz_m,-0.0267476579510832
Distanz + RIX,Lorup,mittlerer_rix_prozent,0.3462660698616879
Distanz + RIX,Ostfriesland,distanz_m,0.1588837074280087
Distanz + RIX,Ostfriesland,mittlerer_rix_prozent,0.3801701713353416
Distanz + RIX,Paderborn,distanz_m,-0.0168683328210254
Distanz + RIX,Paderborn,mittlerer_rix_prozent,0.0719635234985239
Distanz + RIX,Rheda-Beckum,distanz_m,-0.0007110978995358
Distanz + RIX,Rheda-Beckum,mittlerer_rix_prozent,0.4487956699445291
Distanz + Gelaendehoehe,Alpen-Sevelen,distanz_m,-0.0265504316138792
Distanz + Gelaendehoehe,Alpen-Sevelen,gelaendehoehendifferenz_m,0.3182175628926765
Distanz + Gelaendehoehe,Altenmellrich,distanz_m,0.0765542662345649
Distanz + Gelaendehoehe,Altenmellrich,gelaendehoehendifferenz_m,0.2111476234384245
Distanz + Gelaendehoehe,Bad Berleburg,distanz_m,0.0293995063790319
Distanz + Gelaendehoehe,Bad Berleburg,gelaendehoehendifferenz_m,0.4168135959097894
Distanz + Gelaendehoehe,Borken-Coesfeld,distanz_m,0.0140146442307549
Distanz + Gelaendehoehe,Borken-Coesfeld,gelaendehoehendifferenz_m,0.3323298847125802
Distanz + Gelaendehoehe,Lorup,distanz_m,-0.0669546473357986
Distanz + Gelaendehoehe,Lorup,gelaendehoehendifferenz_m,0.2984009678513434
Distanz + Gelaendehoehe,Ostfriesland,distanz_m,0.1065815802686473
Distanz + Gelaendehoehe,Ostfriesland,gelaendehoehendifferenz_m,0.2858708011263495
Distanz + Gelaendehoehe,Paderborn,distanz_m,-0.0881365597719889
Distanz + Gelaendehoehe,Paderborn,gelaendehoehendifferenz_m,0.3572344896130883
Distanz + Gelaendehoehe,Rheda-Beckum,distanz_m,-0.0529717121424936
Distanz + Gelaendehoehe,Rheda-Beckum,gelaendehoehendifferenz_m,0.3664770182745066
Distanz + Rauigkeit,Alpen-Sevelen,distanz_m,-0.0004064156403412
Distanz + Rauigkeit,Alpen-Sevelen,rauigkeitsdifferenz_rms_m,0.0027461437082151
Distanz + Rauigkeit,Altenmellrich,distanz_m,0.0015510351134906
Distanz + Rauigkeit,Altenmellrich,rauigkeitsdifferenz_rms_m,0.0036699975640275
Distanz + Rauigkeit,Bad Berleburg,distanz_m,9.949221009735164e-05
Distanz + Rauigkeit,Bad Berleburg,rauigkeitsdifferenz_rms_m,0.0033810528197571
Distanz + Rauigkeit,Borken-Coesfeld,distanz_m,0.0002684397157749
Distanz + Rauigkeit,Borken-Coesfeld,rauigkeitsdifferenz_rms_m,0.0035989125804343
Distanz + Rauigkeit,Lorup,distanz_m,-0.1093183860630455
Distanz + Rauigkeit,Lorup,rauigkeitsdifferenz_rms_m,0.2586020648135896
Distanz + Rauigkeit,Ostfriesland,distanz_m,0.0185158350794317
Distanz + Rauigkeit,Ostfriesland,rauigkeitsdifferenz_rms_m,0.0303995225994183
Distanz + Rauigkeit,Paderborn,distanz_m,-0.0019530744318973
Distanz + Rauigkeit,Paderborn,rauigkeitsdifferenz_rms_m,0.0026238764626041
Distanz + Rauigkeit,Rheda-Beckum,distanz_m,-0.0007442978224058
Distanz + Rauigkeit,Rheda-Beckum,rauigkeitsdifferenz_rms_m,0.0032139974953965
Distanz + Wald,Alpen-Sevelen,distanz_m,-0.0478688216055608
Distanz + Wald,Alpen-Sevelen,waldanteilsdifferenz_rms,0.3291393459197265
Distanz + Wald,Altenmellrich,distanz_m,0.0134730722795305
Distanz + Wald,Altenmellrich,waldanteilsdifferenz_rms,0.0468755116815781
Distanz + Wald,Bad Berleburg,distanz_m,-0.0070673840452878
Distanz + Wald,Bad Berleburg,waldanteilsdifferenz_rms,0.3487341618686485
Distanz + Wald,Borken-Coesfeld,distanz_m,-0.004657123197088
Distanz + Wald,Borken-Coesfeld,waldanteilsdifferenz_rms,0.2937148144524493
Distanz + Wald,Lorup,distanz_m,-0.088917014110008
Distanz + Wald,Lorup,waldanteilsdifferenz_rms,0.3848498282943258
Distanz + Wald,Ostfriesland,distanz_m,0.0930003165038167
Distanz + Wald,Ostfriesland,waldanteilsdifferenz_rms,0.2255953209173488
Distanz + Wald,Paderborn,distanz_m,-0.098021093647924
Distanz + Wald,Paderborn,waldanteilsdifferenz_rms,0.3171721452240587
Distanz + Wald,Rheda-Beckum,distanz_m,-0.0691074628889434
Distanz + Wald,Rheda-Beckum,waldanteilsdifferenz_rms,0.3134990637705019
Distanz + Wind,Alpen-Sevelen,distanz_m,-0.0642256680202791
Distanz + Wind,Alpen-Sevelen,winddissimilaritaet_log_rms,0.5045038827952281
Distanz + Wind,Altenmellrich,distanz_m,0.0556742101742329
Distanz + Wind,Altenmellrich,winddissimilaritaet_log_rms,0.4520857255914359
Distanz + Wind,Bad Berleburg,distanz_m,-0.0524335050626932
Distanz + Wind,Bad Berleburg,winddissimilaritaet_log_rms,0.5589418166560608
Distanz + Wind,Borken-Coesfeld,distanz_m,-0.0287489228663863
Distanz + Wind,Borken-Coesfeld,winddissimilaritaet_log_rms,0.4917150102591732
Distanz + Wind,Lorup,distanz_m,-0.0975966974027651
Distanz + Wind,Lorup,winddissimilaritaet_log_rms,0.4411098407542252
Distanz + Wind,Ostfriesland,distanz_m,0.073066486344529
Distanz + Wind,Ostfriesland,winddissimilaritaet_log_rms,0.482492655521995
Distanz + Wind,Paderborn,distanz_m,-0.0901763187808489
Distanz + Wind,Paderborn,winddissimilaritaet_log_rms,0.5241122703489619
Distanz + Wind,Rheda-Beckum,distanz_m,-0.0874001058837245
Distanz + Wind,Rheda-Beckum,winddissimilaritaet_log_rms,0.5289462358066989
RIX + Gelaendehoehe,Alpen-Sevelen,mittlerer_rix_prozent,0.3557379406250999
RIX + Gelaendehoehe,Alpen-Sevelen,gelaendehoehendifferenz_m,0.2905011519940494
