modell,merkmal,kleinster_koeffizient,groesster_koeffizient,mittlerer_koeffizient
Distanz + Gelaendehoehe,gelaendehoehendifferenz_m,0.2111476234384245,0.4168135959097894,0.3233114929773448
Distanz + Gelaendehoehe,distanz_m,-0.0881365597719889,0.1065815802686473,-0.0010079192188951
Distanz + Gelaendehoehe + Wald,gelaendehoehendifferenz_m,0.1684846053240015,0.3570138446951325,0.2703554647864298
Distanz + Gelaendehoehe + Wald,waldanteilsdifferenz_rms,0.1524283543221205,0.3176154948110501,0.2231706605213665
Distanz + Gelaendehoehe + Wald,distanz_m,-0.077270532143824,0.097720613482302,-0.0071950303673933
Distanz + Gelaendehoehe + Wald + Wind,gelaendehoehendifferenz_m,0.0683798204438928,0.2126631102500225,0.1595701543455838
Distanz + Gelaendehoehe + Wald + Wind,waldanteilsdifferenz_rms,0.1209219726413656,0.2669078798973443,0.1721992892913073
Distanz + Gelaendehoehe + Wald + Wind,winddissimilaritaet_log_rms,0.3389344679565706,0.4379097889464674,0.4071670607598127
Distanz + Gelaendehoehe + Wald + Wind,distanz_m,-0.0802271426376017,0.0801926411980968,-0.0175239014330117
Distanz + Gelaendehoehe + Rauigkeit,gelaendehoehendifferenz_m,0.1838170779194684,0.4069081632263975,0.3025797061377699
Distanz + Gelaendehoehe + Rauigkeit,rauigkeitsdifferenz_rms_m,0.0407663618994849,0.1847197837281197,0.1022555554099084
Distanz + Gelaendehoehe + Rauigkeit,distanz_m,-0.0916057753194321,0.0932125343033449,-0.0147152518372564
Distanz + Gelaendehoehe + Rauigkeit + Wald,gelaendehoehendifferenz_m,0.1563351150889484,0.3569654960403052,0.2605672064119733
Distanz + Gelaendehoehe + Rauigkeit + Wald,waldanteilsdifferenz_rms,0.1389151243692553,0.2923644183785497,0.2108948323026998
Distanz + Gelaendehoehe + Rauigkeit + Wald,rauigkeitsdifferenz_rms_m,0.000260003972241,0.1297583523390802,0.0631764023166109
Distanz + Gelaendehoehe + Rauigkeit + Wald,distanz_m,-0.0905323393005021,0.0894109513426516,-0.0140875936908541
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,gelaendehoehendifferenz_m,0.0684110452301017,0.2251770616745899,0.1607249281035367
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,waldanteilsdifferenz_rms,0.1189934221273775,0.2554159656595473,0.1732598604377143
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,winddissimilaritaet_log_rms,0.3265758842174731,0.4536976192502962,0.4084762384292973
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,rauigkeitsdifferenz_rms_m,-0.0898837170734413,0.0683558790674901,-0.0083974193471679
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,distanz_m,-0.0867122903838066,0.0791384633870915,-0.0170162281285156
Distanz + Gelaendehoehe + Rauigkeit + Wind,gelaendehoehendifferenz_m,0.086489031572109,0.2564728080883975,0.1937860994846633
Distanz + Gelaendehoehe + Rauigkeit + Wind,winddissimilaritaet_log_rms,0.3532051869007693,0.4704055014745343,0.4236855938154834
Distanz + Gelaendehoehe + Rauigkeit + Wind,rauigkeitsdifferenz_rms_m,-0.0634610445981534,0.1129451344508714,0.0227969813494191
Distanz + Gelaendehoehe + Rauigkeit + Wind,distanz_m,-0.0981492857499296,0.0767033116545344,-0.025982352309581
Distanz + Gelaendehoehe + Wind,gelaendehoehendifferenz_m,0.0930652262349845,0.24515211391663,0.1974035587941662
Distanz + Gelaendehoehe + Wind,winddissimilaritaet_log_rms,0.3767054353274467,0.457539827469735,0.428289202741815
Distanz + Gelaendehoehe + Wind,distanz_m,-0.0866727582846473,0.0799462159900763,-0.0232205606494198
Distanz + Wald,waldanteilsdifferenz_rms,0.0468755116815781,0.3848498282943258,0.2824475240160797
Distanz + Wald,distanz_m,-0.098021093647924,0.0930003165038167,-0.0261456888389331
Distanz + Wald + Wind,waldanteilsdifferenz_rms,0.1551886910384198,0.2961910866997187,0.2101664022882186
Distanz + Wald + Wind,winddissimilaritaet_log_rms,0.375194137630974,0.5111855022521137,0.4552973746080174
Distanz + Wald + Wind,distanz_m,-0.0868726549049018,0.0746881119758222,-0.0262876332824792
Distanz + RIX,distanz_m,-0.0267476579510832,0.1758748329217794,0.0441519955563035
Distanz + RIX,mittlerer_rix_prozent,0.058987958039271,0.5285431903500983,0.2905912106255549
Distanz + RIX + Gelaendehoehe,gelaendehoehendifferenz_m,0.0785941378412085,0.3472807460413195,0.246901578372813
Distanz + RIX + Gelaendehoehe,distanz_m,-0.0219110693374576,0.1600869173210486,0.0538144800977406
Distanz + RIX + Gelaendehoehe,mittlerer_rix_prozent,0.0702023457193672,0.4094245457042362,0.3271341322990251
Distanz + RIX + Gelaendehoehe + Wald,gelaendehoehendifferenz_m,0.0757900735544531,0.3012467507155294,0.208442780209964
Distanz + RIX + Gelaendehoehe + Wald,waldanteilsdifferenz_rms,0.0472428183456758,0.2789737891485161,0.1582911460889742
Distanz + RIX + Gelaendehoehe + Wald,distanz_m,-0.0304576406498933,0.1520121214446584,0.0483630019754903
Distanz + RIX + Gelaendehoehe + Wald,mittlerer_rix_prozent,0.0692982881401108,0.3856912132293978,0.3053183043952043
Distanz + RIX + Gelaendehoehe + Wald + Wind,gelaendehoehendifferenz_m,0.0444051032402211,0.2068648798470144,0.1326603426940118
Distanz + RIX + Gelaendehoehe + Wald + Wind,waldanteilsdifferenz_rms,0.0452754324768861,0.2433847662075935,0.1279246648550769
Distanz + RIX + Gelaendehoehe + Wald + Wind,winddissimilaritaet_log_rms,0.0849477646368549,0.3679750493044519,0.3063654147014641
Distanz + RIX + Gelaendehoehe + Wald + Wind,distanz_m,-0.045568847825495,0.1241702816753333,0.0252936375710668
Distanz + RIX + Gelaendehoehe + Wald + Wind,mittlerer_rix_prozent,0.0649465109208149,0.2958367912896082,0.2322094574863799
Distanz + RIX + Gelaendehoehe + Rauigkeit,gelaendehoehendifferenz_m,0.0776966593946571,0.3350596725001477,0.2399152189209011
Distanz + RIX + Gelaendehoehe + Rauigkeit,rauigkeitsdifferenz_rms_m,-0.0764678635256192,0.126571640573354,0.0331154642418175
Distanz + RIX + Gelaendehoehe + Rauigkeit,distanz_m,-0.0410580693956693,0.1562870153810112,0.0489350999834986
Distanz + RIX + Gelaendehoehe + Rauigkeit,mittlerer_rix_prozent,0.0695971395066394,0.4249815936844482,0.3214943660493858
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,gelaendehoehendifferenz_m,0.0749776665622737,0.2963978718210254,0.2078487351575527
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,waldanteilsdifferenz_rms,0.0467941339570584,0.2652340372170259,0.1574536921568345
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,rauigkeitsdifferenz_rms_m,-0.0974236580123718,0.0806826129297691,0.00507070530611
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,distanz_m,-0.0409337482036713,0.1500617695968224,0.047984231440897
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,mittlerer_rix_prozent,0.068729921239788,0.4013353115359011,0.3053334280185138
Vollstaendig,gelaendehoehendifferenz_m,0.0517589836756145,0.2083016156431705,0.1373677067716753
Vollstaendig,waldanteilsdifferenz_rms,0.0449189666494591,0.2375259901151705,0.1336144029433692
Vollstaendig,winddissimilaritaet_log_rms,0.0844171848971023,0.3852354705891854,0.3108007118973624
Vollstaendig,rauigkeitsdifferenz_rms_m,-0.1458093417993106,0.0394497543931503,-0.0349438900355703
