modell,teststandort,merkmalsgewichtung,merkmal,merkmalsgewicht_0_bis_1,trainingsmittelwert_in_merkmalseinheit,trainingsstandardabweichung_in_merkmalseinheit
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.3440476558960391,0.1632745055129943,0.087286419243207
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.6559523441039609,0.0587099140372873,0.0379846217728394
Wald + Wind,Alpen-Sevelen,Gleichgewichtung,waldanteilsdifferenz_rms,0.5,0.1632745055129943,0.087286419243207
Wald + Wind,Alpen-Sevelen,Gleichgewichtung,winddissimilaritaet_log_rms,0.5,0.0587099140372873,0.0379846217728394
Wald + Wind,Altenmellrich,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.2787945109908331,0.1527442406807067,0.0825561611951499
Wald + Wind,Altenmellrich,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.721205489009167,0.0514338070161388,0.0367303658866068
Wald + Wind,Altenmellrich,Gleichgewichtung,waldanteilsdifferenz_rms,0.5,0.1527442406807067,0.0825561611951499
Wald + Wind,Altenmellrich,Gleichgewichtung,winddissimilaritaet_log_rms,0.5,0.0514338070161388,0.0367303658866068
Wald + Wind,Bad Berleburg,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.2735585366065333,0.1585466167927537,0.09008355669015
Wald + Wind,Bad Berleburg,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.7264414633934667,0.0480757578029966,0.031676253795659
Wald + Wind,Bad Berleburg,Gleichgewichtung,waldanteilsdifferenz_rms,0.5,0.1585466167927537,0.09008355669015
Wald + Wind,Bad Berleburg,Gleichgewichtung,winddissimilaritaet_log_rms,0.5,0.0480757578029966,0.031676253795659
Wald + Wind,Borken-Coesfeld,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.3164114851582371,0.1660935505571788,0.0897409227911631
Wald + Wind,Borken-Coesfeld,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.6835885148417629,0.0580628380651419,0.0385834939403134
Wald + Wind,Borken-Coesfeld,Gleichgewichtung,waldanteilsdifferenz_rms,0.5,0.1660935505571788,0.0897409227911631
Wald + Wind,Borken-Coesfeld,Gleichgewichtung,winddissimilaritaet_log_rms,0.5,0.0580628380651419,0.0385834939403134
Wald + Wind,Lorup,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.4439790150887854,0.1499398790758651,0.0856128429765644
Wald + Wind,Lorup,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.5560209849112147,0.0604340954154411,0.0366989485193086
Wald + Wind,Lorup,Gleichgewichtung,waldanteilsdifferenz_rms,0.5,0.1499398790758651,0.0856128429765644
Wald + Wind,Lorup,Gleichgewichtung,winddissimilaritaet_log_rms,0.5,0.0604340954154411,0.0366989485193086
Wald + Wind,Ostfriesland,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.2510029025975835,0.177677210810266,0.0773297630656175
Wald + Wind,Ostfriesland,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.7489970974024164,0.057660376224326,0.0384949397465473
Wald + Wind,Ostfriesland,Gleichgewichtung,waldanteilsdifferenz_rms,0.5,0.177677210810266,0.0773297630656175
Wald + Wind,Ostfriesland,Gleichgewichtung,winddissimilaritaet_log_rms,0.5,0.057660376224326,0.0384949397465473
Wald + Wind,Paderborn,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.312312114402152,0.1482719597790202,0.0783211243188402
Wald + Wind,Paderborn,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.6876878855978479,0.0509311425866164,0.0348774003497327
Wald + Wind,Paderborn,Gleichgewichtung,waldanteilsdifferenz_rms,0.5,0.1482719597790202,0.0783211243188402
Wald + Wind,Paderborn,Gleichgewichtung,winddissimilaritaet_log_rms,0.5,0.0509311425866164,0.0348774003497327
Wald + Wind,Rheda-Beckum,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.3134999751843916,0.1679006907142877,0.0880368222431274
Wald + Wind,Rheda-Beckum,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.6865000248156083,0.0570986047617234,0.0383324117106493
Wald + Wind,Rheda-Beckum,Gleichgewichtung,waldanteilsdifferenz_rms,0.5,0.1679006907142877,0.0880368222431274
Wald + Wind,Rheda-Beckum,Gleichgewichtung,winddissimilaritaet_log_rms,0.5,0.0570986047617234,0.0383324117106493
Vollstaendig,Alpen-Sevelen,Koeffizientenbetraege,distanz_m,0.0032085467746711,12533.870309340868,9523.270434824131
Vollstaendig,Alpen-Sevelen,Koeffizientenbetraege,mittlerer_rix_prozent,0.2544153287246496,21.7766187666928,25.90309883820679
Vollstaendig,Alpen-Sevelen,Koeffizientenbetraege,gelaendehoehendifferenz_m,0.1529625622683742,28.62287022995855,29.165875631256643
Vollstaendig,Alpen-Sevelen,Koeffizientenbetraege,rauigkeitsdifferenz_rms_m,0.0615114021305938,0.084613023708093,0.0327235702703925
Vollstaendig,Alpen-Sevelen,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.1755878152054079,0.1632745055129943,0.087286419243207
Vollstaendig,Alpen-Sevelen,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.3523143448963033,0.0587099140372873,0.0379846217728394
Vollstaendig,Alpen-Sevelen,Gleichgewichtung,distanz_m,0.1666666666666666,12533.870309340868,9523.270434824131
Vollstaendig,Alpen-Sevelen,Gleichgewichtung,mittlerer_rix_prozent,0.1666666666666666,21.7766187666928,25.90309883820679
Vollstaendig,Alpen-Sevelen,Gleichgewichtung,gelaendehoehendifferenz_m,0.1666666666666666,28.62287022995855,29.165875631256643
Vollstaendig,Alpen-Sevelen,Gleichgewichtung,rauigkeitsdifferenz_rms_m,0.1666666666666666,0.084613023708093,0.0327235702703925
Vollstaendig,Alpen-Sevelen,Gleichgewichtung,waldanteilsdifferenz_rms,0.1666666666666666,0.1632745055129943,0.087286419243207
Vollstaendig,Alpen-Sevelen,Gleichgewichtung,winddissimilaritaet_log_rms,0.1666666666666666,0.0587099140372873,0.0379846217728394
Vollstaendig,Altenmellrich,Koeffizientenbetraege,distanz_m,0.1289382505276634,13257.93829138956,9527.422175415004
Vollstaendig,Altenmellrich,Koeffizientenbetraege,mittlerer_rix_prozent,0.3089878464191214,17.14068584147809,26.157185281756806
Vollstaendig,Altenmellrich,Koeffizientenbetraege,gelaendehoehendifferenz_m,0.0555213028341881,22.890622328615745,27.024046653573407
Vollstaendig,Altenmellrich,Koeffizientenbetraege,rauigkeitsdifferenz_rms_m,0.0483181622165771,0.0798170992984719,0.0344470576543981
Vollstaendig,Altenmellrich,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.1265526932565057,0.1527442406807067,0.0825561611951499
Vollstaendig,Altenmellrich,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.3316817447459441,0.0514338070161388,0.0367303658866068
Vollstaendig,Altenmellrich,Gleichgewichtung,distanz_m,0.1666666666666666,13257.93829138956,9527.422175415004
Vollstaendig,Altenmellrich,Gleichgewichtung,mittlerer_rix_prozent,0.1666666666666666,17.14068584147809,26.157185281756806
Vollstaendig,Altenmellrich,Gleichgewichtung,gelaendehoehendifferenz_m,0.1666666666666666,22.890622328615745,27.024046653573407
Vollstaendig,Altenmellrich,Gleichgewichtung,rauigkeitsdifferenz_rms_m,0.1666666666666666,0.0798170992984719,0.0344470576543981
