modell,teststandort,merkmalsgewichtung,trainingspaar,naechstes_paar_anderer_standort,dissimilarity_index_training
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,AM-01--AM-02,PA-07--PA-11,0.0348133491119368
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,AM-01--AM-03,PA-05--PA-11,0.0470629796770436
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,AM-01--AM-04,PA-04--PA-11,0.2014233921923613
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,AM-02--AM-03,PA-10--PA-11,0.0866671936134231
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,AM-02--AM-04,PA-05--PA-11,0.1375313685656577
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,AM-03--AM-04,PA-03--PA-05,0.2234904745183057
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-01--BB-02,AM-02--AM-04,0.1805409099580614
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-01--BB-03,PA-08--PA-11,0.0629786008327853
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-01--BB-04,PA-04--PA-05,0.0872634095855974
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-01--BB-05,PA-06--PA-11,0.1240623032197024
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-01--BB-06,PA-04--PA-10,0.1710086568607952
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-01--BB-07,PA-04--PA-10,0.056705352157134
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-02--BB-03,PA-04--PA-09,0.0883330700947355
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-02--BB-04,PA-03--PA-08,0.1125312629034695
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-02--BB-05,PA-03--PA-10,0.072855485630959
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-02--BB-06,PA-01--PA-06,0.3417577903314794
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-02--BB-07,PA-03--PA-08,0.0989349877036678
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-03--BB-04,PA-04--PA-08,0.120530348930295
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-03--BB-05,PA-03--PA-09,0.0515140373668528
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-03--BB-06,PA-04--PA-10,0.0161970787890088
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-03--BB-07,PA-01--PA-08,0.2863860005974818
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-04--BB-05,AM-01--AM-03,0.1670638995742767
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-04--BB-06,PA-04--PA-11,0.1570455381955726
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-04--BB-07,PA-04--PA-05,0.0500464475718115
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-05--BB-06,PA-01--PA-03,0.158078679543564
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-05--BB-07,PA-04--PA-09,0.0852520497662547
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BB-06--BB-07,PA-01--PA-06,0.6689562436080984
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-01--BC-02,PA-05--PA-07,0.0751202098456438
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-01--BC-03,PA-06--PA-08,0.1188275563642099
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-01--BC-04,PA-05--PA-06,0.0822533541040927
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-01--BC-05,PA-06--PA-08,0.1839538413778868
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-01--BC-06,RB-03--RB-05,0.0706062487849569
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-02--BC-03,PA-06--PA-10,0.0959831189420674
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-02--BC-04,PA-06--PA-08,0.0839704935540179
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-02--BC-05,RB-01--RB-03,0.1182618904266337
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-02--BC-06,PA-08--PA-09,0.0767789926130649
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-03--BC-04,RB-01--RB-03,0.2258225178496959
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-03--BC-05,PA-05--PA-06,0.1664582723113799
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-03--BC-06,PA-05--PA-07,0.1348021877616497
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-04--BC-05,PA-05--PA-06,0.1871912021294501
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-04--BC-06,PA-05--PA-07,0.0413724739928066
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,BC-05--BC-06,PA-11--PA-12,0.1362597054961926
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,LO-01--LO-02,PA-06--PA-09,0.2573975152657931
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,LO-01--LO-03,AM-02--AM-03,0.2288403738163888
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,LO-02--LO-03,PA-06--PA-09,0.1509271135368577
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,OF-01--OF-02,RB-02--RB-03,0.1581862881434469
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,OF-01--OF-03,RB-02--RB-03,0.1544969105292454
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,OF-01--OF-04,BC-02--BC-04,0.2823384946951669
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,OF-02--OF-03,RB-04--RB-05,0.2761075672615198
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,OF-02--OF-04,BC-01--BC-05,0.2507836321024531
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,OF-03--OF-04,BC-02--BC-04,0.2102344795574361
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,PA-01--PA-10,BB-02--BB-06,0.4414881323979676
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,PA-01--PA-11,BB-02--BB-06,0.6176218060262759
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,PA-01--PA-12,AM-01--AM-04,1.041309718399814
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,PA-01--PA-02,AM-01--AM-04,0.5908829552543859
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,PA-01--PA-03,BB-02--BB-05,0.1045513091560592
