standort,zielcluster,gewichtungsverfahren,log_transferfehler_kombiniert
Alpen-Sevelen,AS-01,Gleichgewichtung,0.0443295488323782
Alpen-Sevelen,AS-01,1/d^2,0.0267486955793629
Alpen-Sevelen,AS-01,Wald + Wind,0.0429166787036865
Alpen-Sevelen,AS-01,Vollstaendig,0.0421846175408042
Alpen-Sevelen,AS-02,Gleichgewichtung,0.0444931451206018
Alpen-Sevelen,AS-02,1/d^2,0.0197637237447478
Alpen-Sevelen,AS-02,Wald + Wind,0.0450556639352188
Alpen-Sevelen,AS-02,Vollstaendig,0.0440982542481705
Alpen-Sevelen,AS-03,Gleichgewichtung,-0.0222253083427357
Alpen-Sevelen,AS-03,1/d^2,-0.016311904301562
Alpen-Sevelen,AS-03,Wald + Wind,-0.0200172780504454
Alpen-Sevelen,AS-03,Vollstaendig,-0.0208138406172153
Alpen-Sevelen,AS-04,Gleichgewichtung,0.0134970369434539
Alpen-Sevelen,AS-04,1/d^2,0.0357411295408305
Alpen-Sevelen,AS-04,Wald + Wind,0.0194821003433781
Alpen-Sevelen,AS-04,Vollstaendig,0.0183251267485475
Alpen-Sevelen,AS-05,Gleichgewichtung,-0.0373420644195063
Alpen-Sevelen,AS-05,1/d^2,-0.0063853449363422
Alpen-Sevelen,AS-05,Wald + Wind,-0.031616331356448
Alpen-Sevelen,AS-05,Vollstaendig,-0.0327769198921453
Alpen-Sevelen,AS-06,Gleichgewichtung,-0.0402099179443617
Alpen-Sevelen,AS-06,1/d^2,-0.0118855802738202
Alpen-Sevelen,AS-06,Wald + Wind,-0.0362878470222397
Alpen-Sevelen,AS-06,Vollstaendig,-0.0373462214370163
Altenmellrich,AM-01,Gleichgewichtung,-0.1487255927583516
Altenmellrich,AM-01,1/d^2,-0.1559879316254419
Altenmellrich,AM-01,Wald + Wind,-0.1352743424312033
Altenmellrich,AM-01,Vollstaendig,-0.1364036907412661
Altenmellrich,AM-02,Gleichgewichtung,0.0659250919517988
Altenmellrich,AM-02,1/d^2,0.1498204831367723
Altenmellrich,AM-02,Wald + Wind,0.0726660732675061
Altenmellrich,AM-02,Vollstaendig,0.0737307032358725
Altenmellrich,AM-03,Gleichgewichtung,-0.0235378183137102
Altenmellrich,AM-03,1/d^2,-0.0315552585707713
Altenmellrich,AM-03,Wald + Wind,-0.0055482395303698
Altenmellrich,AM-03,Vollstaendig,-0.0048681079200499
Altenmellrich,AM-04,Gleichgewichtung,0.1164342906160339
Altenmellrich,AM-04,1/d^2,0.1090053094207694
Altenmellrich,AM-04,Wald + Wind,0.1188935625084271
Altenmellrich,AM-04,Vollstaendig,0.121441429019788
Bad Berleburg,BB-01,Gleichgewichtung,-0.1283049931243222
Bad Berleburg,BB-01,1/d^2,-0.0988225327629452
Bad Berleburg,BB-01,Wald + Wind,-0.1231182732984983
Bad Berleburg,BB-01,Vollstaendig,-0.1282222262716861
Bad Berleburg,BB-02,Gleichgewichtung,-0.0447137887958238
Bad Berleburg,BB-02,1/d^2,-0.0361677520393357
Bad Berleburg,BB-02,Wald + Wind,-0.0326682453679032
Bad Berleburg,BB-02,Vollstaendig,-0.0357368674336218
Bad Berleburg,BB-03,Gleichgewichtung,-0.0515280022989813
Bad Berleburg,BB-03,1/d^2,-0.0497088937766985
Bad Berleburg,BB-03,Wald + Wind,-0.0401011228750622
Bad Berleburg,BB-03,Vollstaendig,-0.0444217591070841
Bad Berleburg,BB-04,Gleichgewichtung,0.0587126657585519
Bad Berleburg,BB-04,1/d^2,0.0449388698643616
Bad Berleburg,BB-04,Wald + Wind,0.0643971397476458
Bad Berleburg,BB-04,Vollstaendig,0.0657575554818487
Bad Berleburg,BB-05,Gleichgewichtung,0.0883790242960902
Bad Berleburg,BB-05,1/d^2,0.0405130721295269
Bad Berleburg,BB-05,Wald + Wind,0.0984808729817288
Bad Berleburg,BB-05,Vollstaendig,0.1056454241951292
Bad Berleburg,BB-06,Gleichgewichtung,0.0967643363520864
Bad Berleburg,BB-06,1/d^2,0.0540641615413345
Bad Berleburg,BB-06,Wald + Wind,0.0976994660401115
Bad Berleburg,BB-06,Vollstaendig,0.1006563566601345
Bad Berleburg,BB-07,Gleichgewichtung,-0.0043784428584063
Bad Berleburg,BB-07,1/d^2,-0.0651140279206066
Bad Berleburg,BB-07,Wald + Wind,0.0030069996466115
Bad Berleburg,BB-07,Vollstaendig,0.0075597630720331
Borken-Coesfeld,BC-01,Gleichgewichtung,0.0232390660306575
Borken-Coesfeld,BC-01,1/d^2,0.0067277647784195
Borken-Coesfeld,BC-01,Wald + Wind,0.024979379470532
Borken-Coesfeld,BC-01,Vollstaendig,0.0250312060388592
Borken-Coesfeld,BC-02,Gleichgewichtung,0.0198034234284684
Borken-Coesfeld,BC-02,1/d^2,0.0006385238827755
Borken-Coesfeld,BC-02,Wald + Wind,0.021768037895127
Borken-Coesfeld,BC-02,Vollstaendig,0.0215815018429115
Borken-Coesfeld,BC-03,Gleichgewichtung,-0.0271901194103393
Borken-Coesfeld,BC-03,1/d^2,-0.0057095529600278
Borken-Coesfeld,BC-03,Wald + Wind,-0.0255200787116913
Borken-Coesfeld,BC-03,Vollstaendig,-0.0266129214966885
Borken-Coesfeld,BC-04,Gleichgewichtung,-0.0206245832043551
Borken-Coesfeld,BC-04,1/d^2,0.0043022551927058
Borken-Coesfeld,BC-04,Wald + Wind,-0.0174036980599019
Borken-Coesfeld,BC-04,Vollstaendig,-0.0181822451045141
Borken-Coesfeld,BC-05,Gleichgewichtung,-0.0313998898267797
Borken-Coesfeld,BC-05,1/d^2,-0.013989577305646
Borken-Coesfeld,BC-05,Wald + Wind,-0.0312385559792908
