standort,zielcluster,referenzcluster,gewichtungsverfahren,referenzgewicht_0_bis_1
Alpen-Sevelen,AS-01,AS-02,Gleichgewichtung,0.2
Alpen-Sevelen,AS-01,AS-03,Gleichgewichtung,0.2
Alpen-Sevelen,AS-01,AS-04,Gleichgewichtung,0.2
Alpen-Sevelen,AS-01,AS-05,Gleichgewichtung,0.2
Alpen-Sevelen,AS-01,AS-06,Gleichgewichtung,0.2
Alpen-Sevelen,AS-01,AS-02,1/d^2,0.5126653791840815
Alpen-Sevelen,AS-01,AS-03,1/d^2,0.1031900147559679
Alpen-Sevelen,AS-01,AS-04,1/d^2,0.1369961671774571
Alpen-Sevelen,AS-01,AS-05,1/d^2,0.1351204583732307
Alpen-Sevelen,AS-01,AS-06,1/d^2,0.1120279805092628
Alpen-Sevelen,AS-01,AS-02,Wald + Wind,0.2153732365336516
Alpen-Sevelen,AS-01,AS-03,Wald + Wind,0.2316744772995163
Alpen-Sevelen,AS-01,AS-04,Wald + Wind,0.1984058507767648
Alpen-Sevelen,AS-01,AS-05,Wald + Wind,0.1697658404729309
Alpen-Sevelen,AS-01,AS-06,Wald + Wind,0.1847805949171364
Alpen-Sevelen,AS-01,AS-02,Vollstaendig,0.2249006514864991
Alpen-Sevelen,AS-01,AS-03,Vollstaendig,0.2266535632662473
Alpen-Sevelen,AS-01,AS-04,Vollstaendig,0.201864976882664
Alpen-Sevelen,AS-01,AS-05,Vollstaendig,0.1636998782683797
Alpen-Sevelen,AS-01,AS-06,Vollstaendig,0.1828809300962097
Alpen-Sevelen,AS-02,AS-01,Gleichgewichtung,0.2
Alpen-Sevelen,AS-02,AS-03,Gleichgewichtung,0.2
Alpen-Sevelen,AS-02,AS-04,Gleichgewichtung,0.2
Alpen-Sevelen,AS-02,AS-05,Gleichgewichtung,0.2
Alpen-Sevelen,AS-02,AS-06,Gleichgewichtung,0.2
Alpen-Sevelen,AS-02,AS-01,1/d^2,0.6517931654542823
Alpen-Sevelen,AS-02,AS-03,1/d^2,0.0706872126190582
Alpen-Sevelen,AS-02,AS-04,1/d^2,0.0901065385747074
Alpen-Sevelen,AS-02,AS-05,1/d^2,0.1016890685460625
Alpen-Sevelen,AS-02,AS-06,1/d^2,0.0857240148058893
Alpen-Sevelen,AS-02,AS-01,Wald + Wind,0.1842233049498549
Alpen-Sevelen,AS-02,AS-03,Wald + Wind,0.1744475283923101
Alpen-Sevelen,AS-02,AS-04,Wald + Wind,0.2209138469483155
Alpen-Sevelen,AS-02,AS-05,Wald + Wind,0.1958322676047163
Alpen-Sevelen,AS-02,AS-06,Wald + Wind,0.224583052104803
Alpen-Sevelen,AS-02,AS-01,Vollstaendig,0.2038691983100053
Alpen-Sevelen,AS-02,AS-03,Vollstaendig,0.1839429924371938
Alpen-Sevelen,AS-02,AS-04,Vollstaendig,0.2088524802163597
Alpen-Sevelen,AS-02,AS-05,Vollstaendig,0.1883401107764266
Alpen-Sevelen,AS-02,AS-06,Vollstaendig,0.2149952182600143
Alpen-Sevelen,AS-03,AS-01,Gleichgewichtung,0.2
Alpen-Sevelen,AS-03,AS-02,Gleichgewichtung,0.2
Alpen-Sevelen,AS-03,AS-04,Gleichgewichtung,0.2
Alpen-Sevelen,AS-03,AS-05,Gleichgewichtung,0.2
Alpen-Sevelen,AS-03,AS-06,Gleichgewichtung,0.2
Alpen-Sevelen,AS-03,AS-01,1/d^2,0.0192277543620285
Alpen-Sevelen,AS-03,AS-02,1/d^2,0.0103599088705684
Alpen-Sevelen,AS-03,AS-04,1/d^2,0.6506044598995518
Alpen-Sevelen,AS-03,AS-05,1/d^2,0.1305622541380985
Alpen-Sevelen,AS-03,AS-06,1/d^2,0.1892456227297526
Alpen-Sevelen,AS-03,AS-01,Wald + Wind,0.1812430263658777
Alpen-Sevelen,AS-03,AS-02,Wald + Wind,0.1595775302999878
Alpen-Sevelen,AS-03,AS-04,Wald + Wind,0.2439787003173362
Alpen-Sevelen,AS-03,AS-05,Wald + Wind,0.1922031107470254
Alpen-Sevelen,AS-03,AS-06,Wald + Wind,0.2229976322697726
Alpen-Sevelen,AS-03,AS-01,Vollstaendig,0.1879830417048573
Alpen-Sevelen,AS-03,AS-02,Vollstaendig,0.1682196058997772
Alpen-Sevelen,AS-03,AS-04,Vollstaendig,0.2377811908588412
Alpen-Sevelen,AS-03,AS-05,Vollstaendig,0.1887405387220535
Alpen-Sevelen,AS-03,AS-06,Vollstaendig,0.2172756228144704
Alpen-Sevelen,AS-04,AS-01,Gleichgewichtung,0.2
Alpen-Sevelen,AS-04,AS-02,Gleichgewichtung,0.2
Alpen-Sevelen,AS-04,AS-03,Gleichgewichtung,0.2
Alpen-Sevelen,AS-04,AS-05,Gleichgewichtung,0.2
Alpen-Sevelen,AS-04,AS-06,Gleichgewichtung,0.2
Alpen-Sevelen,AS-04,AS-01,1/d^2,0.0173170552814214
Alpen-Sevelen,AS-04,AS-02,1/d^2,0.0089587232568957
Alpen-Sevelen,AS-04,AS-03,1/d^2,0.4413587813861467
Alpen-Sevelen,AS-04,AS-05,1/d^2,0.2336799290287741
Alpen-Sevelen,AS-04,AS-06,1/d^2,0.2986855110467618
Alpen-Sevelen,AS-04,AS-01,Wald + Wind,0.1344593105072628
Alpen-Sevelen,AS-04,AS-02,Wald + Wind,0.1765863022941273
Alpen-Sevelen,AS-04,AS-03,Wald + Wind,0.2146178977313563
Alpen-Sevelen,AS-04,AS-05,Wald + Wind,0.2087658025508119
Alpen-Sevelen,AS-04,AS-06,Wald + Wind,0.2655706869164417
Alpen-Sevelen,AS-04,AS-01,Vollstaendig,0.1522308098181439
Alpen-Sevelen,AS-04,AS-02,Vollstaendig,0.1745878857764497
Alpen-Sevelen,AS-04,AS-03,Vollstaendig,0.2195638722019121
Alpen-Sevelen,AS-04,AS-05,Vollstaendig,0.200896058180001
Alpen-Sevelen,AS-04,AS-06,Vollstaendig,0.252721374023493
Alpen-Sevelen,AS-05,AS-01,Gleichgewichtung,0.2
Alpen-Sevelen,AS-05,AS-02,Gleichgewichtung,0.2
Alpen-Sevelen,AS-05,AS-03,Gleichgewichtung,0.2
Alpen-Sevelen,AS-05,AS-04,Gleichgewichtung,0.2
Alpen-Sevelen,AS-05,AS-06,Gleichgewichtung,0.2
Alpen-Sevelen,AS-05,AS-01,1/d^2,0.011143369433525
Alpen-Sevelen,AS-05,AS-02,1/d^2,0.0065962009252624
Alpen-Sevelen,AS-05,AS-03,1/d^2,0.0577859380618703
Alpen-Sevelen,AS-05,AS-04,1/d^2,0.1524583462292365
Alpen-Sevelen,AS-05,AS-06,1/d^2,0.7720161453501057
Alpen-Sevelen,AS-05,AS-01,Wald + Wind,0.1253345550748276
Alpen-Sevelen,AS-05,AS-02,Wald + Wind,0.1729903221735155
Alpen-Sevelen,AS-05,AS-03,Wald + Wind,0.1867984132909416
Alpen-Sevelen,AS-05,AS-04,Wald + Wind,0.2366083345644747
Alpen-Sevelen,AS-05,AS-06,Wald + Wind,0.2782683748962402
Alpen-Sevelen,AS-05,AS-01,Vollstaendig,0.1371042720915317
Alpen-Sevelen,AS-05,AS-02,Vollstaendig,0.1778488890852252
Alpen-Sevelen,AS-05,AS-03,Vollstaendig,0.1970500927958754
Alpen-Sevelen,AS-05,AS-04,Vollstaendig,0.2328839580426382
Alpen-Sevelen,AS-05,AS-06,Vollstaendig,0.2551127879847294
Alpen-Sevelen,AS-06,AS-01,Gleichgewichtung,0.2
Alpen-Sevelen,AS-06,AS-02,Gleichgewichtung,0.2
Alpen-Sevelen,AS-06,AS-03,Gleichgewichtung,0.2
Alpen-Sevelen,AS-06,AS-04,Gleichgewichtung,0.2
Alpen-Sevelen,AS-06,AS-05,Gleichgewichtung,0.2
Alpen-Sevelen,AS-06,AS-01,1/d^2,0.0086714414365058
Alpen-Sevelen,AS-06,AS-02,1/d^2,0.0052190502541671
Alpen-Sevelen,AS-06,AS-03,1/d^2,0.0786139721398568
Alpen-Sevelen,AS-06,AS-04,1/d^2,0.1828998366416183
Alpen-Sevelen,AS-06,AS-05,1/d^2,0.7245956995278519
Alpen-Sevelen,AS-06,AS-01,Wald + Wind,0.1258933033989336
Alpen-Sevelen,AS-06,AS-02,Wald + Wind,0.1792321971030018
Alpen-Sevelen,AS-06,AS-03,Wald + Wind,0.1944490778861423
Alpen-Sevelen,AS-06,AS-04,Wald + Wind,0.2611977620988301
Alpen-Sevelen,AS-06,AS-05,Wald + Wind,0.2392276595130919
Alpen-Sevelen,AS-06,AS-01,Vollstaendig,0.1410588260996306
Alpen-Sevelen,AS-06,AS-02,Vollstaendig,0.1830597574166903
Alpen-Sevelen,AS-06,AS-03,Vollstaendig,0.2022857948801573
Alpen-Sevelen,AS-06,AS-04,Vollstaendig,0.2533261016015223
Alpen-Sevelen,AS-06,AS-05,Vollstaendig,0.2202695200019993
