standort,zielcluster,referenzpaar,gewichtungsverfahren,log_transferfehler_kombiniert
Alpen-Sevelen,AS-01,AS-02--AS-03,Gleichgewichtung,0.0281006206963335
Alpen-Sevelen,AS-01,AS-02--AS-03,1/d^2,0.0094146334398241
Alpen-Sevelen,AS-01,AS-02--AS-03,Wald + Wind,0.0291153778948285
Alpen-Sevelen,AS-01,AS-02--AS-03,Vollstaendig,0.0282086999700155
Alpen-Sevelen,AS-01,AS-02--AS-04,Gleichgewichtung,0.0129236703084541
Alpen-Sevelen,AS-01,AS-02--AS-04,1/d^2,0.0053919167936983
Alpen-Sevelen,AS-01,AS-02--AS-04,Wald + Wind,0.0123914332030316
Alpen-Sevelen,AS-01,AS-02--AS-04,Vollstaendig,0.0122230111199135
Alpen-Sevelen,AS-01,AS-02--AS-05,Gleichgewichtung,0.0345617991915291
Alpen-Sevelen,AS-01,AS-02--AS-05,1/d^2,0.0144849761584862
Alpen-Sevelen,AS-01,AS-02--AS-05,Wald + Wind,0.0305150936754271
Alpen-Sevelen,AS-01,AS-02--AS-05,Vollstaendig,0.0291762757259825
Alpen-Sevelen,AS-01,AS-02--AS-06,Gleichgewichtung,0.0357901047067241
Alpen-Sevelen,AS-01,AS-02--AS-06,1/d^2,0.0128975571566296
Alpen-Sevelen,AS-01,AS-02--AS-06,Wald + Wind,0.0330884833926544
Alpen-Sevelen,AS-01,AS-02--AS-06,Vollstaendig,0.032147061213895
Alpen-Sevelen,AS-01,AS-03--AS-04,Gleichgewichtung,0.0408002577124108
Alpen-Sevelen,AS-01,AS-03--AS-04,1/d^2,0.0387047930613196
Alpen-Sevelen,AS-01,AS-03--AS-04,Wald + Wind,0.0419500337838414
Alpen-Sevelen,AS-01,AS-03--AS-04,Vollstaendig,0.0416602074387093
Alpen-Sevelen,AS-01,AS-03--AS-05,Gleichgewichtung,0.0618497358767653
Alpen-Sevelen,AS-01,AS-03--AS-05,1/d^2,0.0626890760636577
Alpen-Sevelen,AS-01,AS-03--AS-05,Wald + Wind,0.0608827977798517
Alpen-Sevelen,AS-01,AS-03--AS-05,Vollstaendig,0.0608385263004079
Alpen-Sevelen,AS-01,AS-03--AS-06,Gleichgewichtung,0.0630449964072952
Alpen-Sevelen,AS-01,AS-03--AS-06,1/d^2,0.0633510511690742
Alpen-Sevelen,AS-01,AS-03--AS-06,Wald + Wind,0.0622053001301961
Alpen-Sevelen,AS-01,AS-03--AS-06,Vollstaendig,0.0622479619128366
Alpen-Sevelen,AS-01,AS-04--AS-05,Gleichgewichtung,0.0471801599587432
Alpen-Sevelen,AS-01,AS-04--AS-05,1/d^2,0.0470344492697516
Alpen-Sevelen,AS-01,AS-04--AS-05,Wald + Wind,0.0455345401688444
Alpen-Sevelen,AS-01,AS-04--AS-05,Vollstaendig,0.0449709804185457
Alpen-Sevelen,AS-01,AS-04--AS-06,Gleichgewichtung,0.0483930729858039
Alpen-Sevelen,AS-01,AS-04--AS-06,1/d^2,0.0461522829775577
Alpen-Sevelen,AS-01,AS-04--AS-06,Wald + Wind,0.0475989713659121
Alpen-Sevelen,AS-01,AS-04--AS-06,Vollstaendig,0.0472909673761692
Alpen-Sevelen,AS-01,AS-05--AS-06,Gleichgewichtung,0.0692849832132245
Alpen-Sevelen,AS-01,AS-05--AS-06,1/d^2,0.0691740581164251
Alpen-Sevelen,AS-01,AS-05--AS-06,Wald + Wind,0.0693352553400843
Alpen-Sevelen,AS-01,AS-05--AS-06,Vollstaendig,0.0693506803900999
Alpen-Sevelen,AS-02,AS-01--AS-03,Gleichgewichtung,0.0283046979808258
Alpen-Sevelen,AS-02,AS-01--AS-03,1/d^2,0.0057118885076365
Alpen-Sevelen,AS-02,AS-01--AS-03,Wald + Wind,0.0275474050884868
Alpen-Sevelen,AS-02,AS-01--AS-03,Vollstaendig,0.0268766017634227
Alpen-Sevelen,AS-02,AS-01--AS-04,Gleichgewichtung,0.0131287683896156
Alpen-Sevelen,AS-02,AS-01--AS-04,1/d^2,0.0033085988667084
Alpen-Sevelen,AS-02,AS-01--AS-04,Wald + Wind,0.0142970237156772
Alpen-Sevelen,AS-02,AS-01--AS-04,Vollstaendig,0.0132846029415665
Alpen-Sevelen,AS-02,AS-01--AS-05,Gleichgewichtung,0.0347654465787274
Alpen-Sevelen,AS-02,AS-01--AS-05,1/d^2,0.0096028396410943
Alpen-Sevelen,AS-02,AS-01--AS-05,Wald + Wind,0.0358045335335976
Alpen-Sevelen,AS-02,AS-01--AS-05,Vollstaendig,0.0334169431065507
Alpen-Sevelen,AS-02,AS-01--AS-06,Gleichgewichtung,0.0359936706818131
Alpen-Sevelen,AS-02,AS-01--AS-06,1/d^2,0.0085881550188542
Alpen-Sevelen,AS-02,AS-01--AS-06,Wald + Wind,0.039464873637591
Alpen-Sevelen,AS-02,AS-01--AS-06,Vollstaendig,0.0369287888252513
Alpen-Sevelen,AS-02,AS-03--AS-04,Gleichgewichtung,0.0409375821725559
Alpen-Sevelen,AS-02,AS-03--AS-04,1/d^2,0.0391398169572132
Alpen-Sevelen,AS-02,AS-03--AS-04,Wald + Wind,0.0391881322039711
Alpen-Sevelen,AS-02,AS-03--AS-04,Vollstaendig,0.0399939975128799
Alpen-Sevelen,AS-02,AS-03--AS-05,Gleichgewichtung,0.0619870603369104
Alpen-Sevelen,AS-02,AS-03--AS-05,1/d^2,0.0631135417189556
