standort,zielcluster,referenzpaar,referenzcluster,gewichtungsverfahren,referenzgewicht_0_bis_1
Alpen-Sevelen,AS-01,AS-02--AS-03,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-02--AS-03,AS-03,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-02--AS-03,AS-02,1/d^2,0.8324444085878819
Alpen-Sevelen,AS-01,AS-02--AS-03,AS-03,1/d^2,0.167555591412118
Alpen-Sevelen,AS-01,AS-02--AS-03,AS-02,Wald + Wind,0.4817678960640563
Alpen-Sevelen,AS-01,AS-02--AS-03,AS-03,Wald + Wind,0.5182321039359438
Alpen-Sevelen,AS-01,AS-02--AS-03,AS-02,Vollstaendig,0.498059024008105
Alpen-Sevelen,AS-01,AS-02--AS-03,AS-03,Vollstaendig,0.501940975991895
Alpen-Sevelen,AS-01,AS-02--AS-04,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-02--AS-04,AS-04,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-02--AS-04,AS-02,1/d^2,0.7891268646809853
Alpen-Sevelen,AS-01,AS-02--AS-04,AS-04,1/d^2,0.2108731353190148
Alpen-Sevelen,AS-01,AS-02--AS-04,AS-02,Wald + Wind,0.5205029522724016
Alpen-Sevelen,AS-01,AS-02--AS-04,AS-04,Wald + Wind,0.4794970477275983
Alpen-Sevelen,AS-01,AS-02--AS-04,AS-02,Vollstaendig,0.5269886713837093
Alpen-Sevelen,AS-01,AS-02--AS-04,AS-04,Vollstaendig,0.4730113286162906
Alpen-Sevelen,AS-01,AS-02--AS-05,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-02--AS-05,AS-05,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-02--AS-05,AS-02,1/d^2,0.7914118362285498
Alpen-Sevelen,AS-01,AS-02--AS-05,AS-05,1/d^2,0.2085881637714502
Alpen-Sevelen,AS-01,AS-02--AS-05,AS-02,Wald + Wind,0.5592089958972681
Alpen-Sevelen,AS-01,AS-02--AS-05,AS-05,Wald + Wind,0.440791004102732
Alpen-Sevelen,AS-01,AS-02--AS-05,AS-02,Vollstaendig,0.578745097512764
Alpen-Sevelen,AS-01,AS-02--AS-05,AS-05,Vollstaendig,0.4212549024872359
Alpen-Sevelen,AS-01,AS-02--AS-06,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-02--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-02--AS-06,AS-02,1/d^2,0.8206672461441622
Alpen-Sevelen,AS-01,AS-02--AS-06,AS-06,1/d^2,0.1793327538558377
Alpen-Sevelen,AS-01,AS-02--AS-06,AS-02,Wald + Wind,0.5382261010791766
Alpen-Sevelen,AS-01,AS-02--AS-06,AS-06,Wald + Wind,0.4617738989208235
Alpen-Sevelen,AS-01,AS-02--AS-06,AS-02,Vollstaendig,0.5515223385362327
Alpen-Sevelen,AS-01,AS-02--AS-06,AS-06,Vollstaendig,0.4484776614637673
Alpen-Sevelen,AS-01,AS-03--AS-04,AS-03,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-03--AS-04,AS-04,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-03--AS-04,AS-03,1/d^2,0.4296251096766681
Alpen-Sevelen,AS-01,AS-03--AS-04,AS-04,1/d^2,0.5703748903233318
Alpen-Sevelen,AS-01,AS-03--AS-04,AS-03,Wald + Wind,0.5386772241729348
