gewichtungsverfahren,standort,mittlere_effektive_referenzanzahl,mediane_effektive_referenzanzahl,mittleres_groesstes_referenzgewicht,groesstes_referenzgewicht
Gleichgewichtung,Alpen-Sevelen,4.999999999999999,4.999999999999999,0.2,0.2
Gleichgewichtung,Altenmellrich,3.0,3.0,0.3333333333333333,0.3333333333333333
Gleichgewichtung,Bad Berleburg,5.999999999999999,5.999999999999999,0.1666666666666666,0.1666666666666666
Gleichgewichtung,Borken-Coesfeld,4.999999999999999,4.999999999999999,0.2,0.2
Gleichgewichtung,Lorup,2.0,2.0,0.5,0.5
Gleichgewichtung,Ostfriesland,3.0,3.0,0.3333333333333333,0.3333333333333333
Gleichgewichtung,Paderborn,11.0,11.0,0.0909090909090909,0.0909090909090909
Gleichgewichtung,Rheda-Beckum,4.0,4.0,0.25,0.25
1/d^2,Alpen-Sevelen,2.285760481909547,2.146404647193654,0.6255056051336699,0.7720161453501057
1/d^2,Altenmellrich,1.8352467330706583,1.6083948650963271,0.7173283548953525,0.9288541705879648
1/d^2,Bad Berleburg,3.552345033771114,3.781483016443609,0.4125436083996376,0.6164739163082491
1/d^2,Borken-Coesfeld,2.222443040280329,1.6577735177234163,0.6653384017567484,0.8167240093619648
1/d^2,Lorup,1.9685622626832,1.9563441444255143,0.5536334172477725,0.580380134322158
1/d^2,Ostfriesland,1.7082383981245732,1.5012361899984938,0.7635256283808848,0.9513516213830588
1/d^2,Paderborn,4.122944358363014,4.578189565349602,0.4575264738774542,0.7605400608272496
1/d^2,Rheda-Beckum,1.4601626602146331,1.5011353161725465,0.8039631266514988,0.970460744802532
Wald + Wind,Alpen-Sevelen,4.827514187274893,4.832261902853588,0.2508788422721946,0.2782683748962402
Wald + Wind,Altenmellrich,2.8053474903414144,2.7766998529570484,0.4391994074563207,0.4926734650503762
Wald + Wind,Bad Berleburg,5.61466977090719,5.647468329833654,0.2247021117241078,0.2551704184184237
Wald + Wind,Borken-Coesfeld,4.879561085022973,4.861887795361522,0.246444015021914,0.2766630931387537
Wald + Wind,Lorup,1.961534618402044,1.9540592889564168,0.5620456541452348,0.593361216243856
Wald + Wind,Ostfriesland,2.941806536847132,2.952375256235272,0.3715317528902123,0.386355595349917
Wald + Wind,Paderborn,8.971127723421953,8.776525419503031,0.1715767338424891,0.2547176029671974
Wald + Wind,Rheda-Beckum,3.613757080538747,3.6131614629424855,0.3622550230490669,0.3999768291227481
Vollstaendig,Alpen-Sevelen,4.885462830414553,4.889084284872251,0.2400983726658079,0.2551127879847294
Vollstaendig,Altenmellrich,2.810172604622728,2.779280405089548,0.4362666818741028,0.4844354537170536
Vollstaendig,Bad Berleburg,5.386003673005182,5.389548540294216,0.2534641129223201,0.3298456462045373
Vollstaendig,Borken-Coesfeld,4.871988698226574,4.84732083726551,0.2438841698000361,0.2657893809849623
Vollstaendig,Lorup,1.9582060649263493,1.950798571399724,0.5649586333604345,0.5977885522555058
Vollstaendig,Ostfriesland,2.863101796518531,2.869696894235528,0.4148421452274361,0.4630917476884502
Vollstaendig,Paderborn,10.68554976004534,10.69160426072474,0.1171770769317587,0.1353859869822747
Vollstaendig,Rheda-Beckum,3.797202997489177,3.755542758576872,0.3273957273140614,0.3572262558674082
