modell,teststandort,merkmalsgewichtung,aoa_grenzverfahren,normierungsdistanz_standardisiert,aoa_grenze_di,trainings_di_quartil_25,trainings_di_quartil_75,groesster_trainings_di
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,Oberer_Whisker,1.3811556064776092,0.559233341094761,0.0836520056305929,0.2792230309783434,1.041309718399814
Wald + Wind,Alpen-Sevelen,Koeffizientenbetraege,Quantil_95,1.3811556064776092,0.75125178382696,0.0836520056305929,0.2792230309783434,1.041309718399814
Wald + Wind,Alpen-Sevelen,Gleichgewichtung,Oberer_Whisker,1.377572652914801,0.614063537596136,0.0848997042979985,0.2972922574124551,1.0797115505928498
Wald + Wind,Alpen-Sevelen,Gleichgewichtung,Quantil_95,1.377572652914801,0.7931995847121259,0.0848997042979985,0.2972922574124551,1.0797115505928498
Wald + Wind,Altenmellrich,Koeffizientenbetraege,Oberer_Whisker,1.4621689788173875,0.5190531378648833,0.0694531390067087,0.2525836613850168,1.0062916010013832
Wald + Wind,Altenmellrich,Koeffizientenbetraege,Quantil_95,1.4621689788173875,0.7604623150686131,0.0694531390067087,0.2525836613850168,1.0062916010013832
Wald + Wind,Altenmellrich,Gleichgewichtung,Oberer_Whisker,1.4614352151878645,0.6076341075232167,0.0816885947075622,0.2971547988527393,1.2363712535773514
Wald + Wind,Altenmellrich,Gleichgewichtung,Quantil_95,1.4614352151878645,0.948390037487964,0.0816885947075622,0.2971547988527393,1.2363712535773514
Wald + Wind,Bad Berleburg,Koeffizientenbetraege,Oberer_Whisker,1.5637331622584032,0.7495526913586893,0.0712449457112655,0.3456661960562318,1.0143285132757685
Wald + Wind,Bad Berleburg,Koeffizientenbetraege,Quantil_95,1.5637331622584032,0.7700119912793326,0.0712449457112655,0.3456661960562318,1.0143285132757685
Wald + Wind,Bad Berleburg,Gleichgewichtung,Oberer_Whisker,1.528960887567513,0.7469772992661394,0.0806830900870894,0.3535012075831497,1.0370253721095637
Wald + Wind,Bad Berleburg,Gleichgewichtung,Quantil_95,1.528960887567513,0.8167821312653805,0.0806830900870894,0.3535012075831497,1.0370253721095637
Wald + Wind,Borken-Coesfeld,Koeffizientenbetraege,Oberer_Whisker,1.3912396281267816,0.5170612638454729,0.0713215464427766,0.2545681953823902,1.006411335192338
Wald + Wind,Borken-Coesfeld,Koeffizientenbetraege,Quantil_95,1.3912396281267816,0.7197132911644474,0.0713215464427766,0.2545681953823902,1.006411335192338
Wald + Wind,Borken-Coesfeld,Gleichgewichtung,Oberer_Whisker,1.387121543765677,0.5286443651299096,0.0806061459627636,0.2704897430825859,1.0479894051974894
Wald + Wind,Borken-Coesfeld,Gleichgewichtung,Quantil_95,1.387121543765677,0.7718397362779232,0.0806061459627636,0.2704897430825859,1.0479894051974894
Wald + Wind,Lorup,Koeffizientenbetraege,Oberer_Whisker,1.427218421648095,0.3773181088907879,0.0753212584600211,0.215660867294618,1.0572600019237817
Wald + Wind,Lorup,Koeffizientenbetraege,Quantil_95,1.427218421648095,0.7634490734691503,0.0753212584600211,0.215660867294618,1.0572600019237817
Wald + Wind,Lorup,Gleichgewichtung,Oberer_Whisker,1.423310546201441,0.3989137445945682,0.0761508174566915,0.2163914714578953,1.0718767063783057
Wald + Wind,Lorup,Gleichgewichtung,Quantil_95,1.423310546201441,0.767082834411634,0.0761508174566915,0.2163914714578953,1.0718767063783057
Wald + Wind,Ostfriesland,Koeffizientenbetraege,Oberer_Whisker,1.40824130224226,0.4312333232065201,0.070170629895211,0.215676793793126,1.036854088629866
Wald + Wind,Ostfriesland,Koeffizientenbetraege,Quantil_95,1.40824130224226,0.717406099644472,0.070170629895211,0.215676793793126,1.036854088629866
Wald + Wind,Ostfriesland,Gleichgewichtung,Oberer_Whisker,1.4312250250545595,0.4937331357856612,0.0823972530895489,0.2698566437600047,1.1221414570318466
Wald + Wind,Ostfriesland,Gleichgewichtung,Quantil_95,1.4312250250545595,0.8040428150782064,0.0823972530895489,0.2698566437600047,1.1221414570318466
Wald + Wind,Paderborn,Koeffizientenbetraege,Oberer_Whisker,1.2640450092928832,0.4227914331603553,0.1117302392170234,0.2399471643457069,1.504859870710748
Wald + Wind,Paderborn,Koeffizientenbetraege,Quantil_95,1.2640450092928832,0.5392652165813411,0.1117302392170234,0.2399471643457069,1.504859870710748
Wald + Wind,Paderborn,Gleichgewichtung,Oberer_Whisker,1.2320368419799457,0.5021509919525614,0.1045193047932233,0.2653525517267255,1.511613521358279
Wald + Wind,Paderborn,Gleichgewichtung,Quantil_95,1.2320368419799457,0.5997928431924279,0.1045193047932233,0.2653525517267255,1.511613521358279
Wald + Wind,Rheda-Beckum,Koeffizientenbetraege,Oberer_Whisker,1.3938679977188988,0.4234672873871952,0.0745906113063963,0.2287184282969632,1.0156942883703577
Wald + Wind,Rheda-Beckum,Koeffizientenbetraege,Quantil_95,1.3938679977188988,0.7167127869581892,0.0745906113063963,0.2287184282969632,1.0156942883703577
Wald + Wind,Rheda-Beckum,Gleichgewichtung,Oberer_Whisker,1.3871018335996272,0.5216676924532303,0.0816136640253673,0.2611558478548101,1.0629210860327598
Wald + Wind,Rheda-Beckum,Gleichgewichtung,Quantil_95,1.3871018335996272,0.7720067888993455,0.0816136640253673,0.2611558478548101,1.0629210860327598
Vollstaendig,Alpen-Sevelen,Koeffizientenbetraege,Oberer_Whisker,1.428019492746355,0.7557601986073024,0.3076964684722472,0.4959072605734566,1.000988292478491
Vollstaendig,Alpen-Sevelen,Koeffizientenbetraege,Quantil_95,1.428019492746355,0.782036579891274,0.3076964684722472,0.4959072605734566,1.000988292478491
Vollstaendig,Alpen-Sevelen,Gleichgewichtung,Oberer_Whisker,1.441918005672126,0.7919971608443908,0.3615651494974822,0.5535337613044929,1.2595242203878667
Vollstaendig,Alpen-Sevelen,Gleichgewichtung,Quantil_95,1.441918005672126,0.9247043561788296,0.3615651494974822,0.5535337613044929,1.2595242203878667
Vollstaendig,Altenmellrich,Koeffizientenbetraege,Oberer_Whisker,1.440683021521049,1.0902911395257486,0.2622994349562699,0.619598209440793,1.1940372520599911
Vollstaendig,Altenmellrich,Koeffizientenbetraege,Quantil_95,1.440683021521049,0.886431048513743,0.2622994349562699,0.619598209440793,1.1940372520599911
Vollstaendig,Altenmellrich,Gleichgewichtung,Oberer_Whisker,1.4942685844248291,0.9974165678154108,0.2891016163178403,0.5900657197284604,1.3940451923693855
Vollstaendig,Altenmellrich,Gleichgewichtung,Quantil_95,1.4942685844248291,0.9799755025536944,0.2891016163178403,0.5900657197284604,1.3940451923693855
Vollstaendig,Bad Berleburg,Koeffizientenbetraege,Oberer_Whisker,1.6364061485821983,0.8399768473332023,0.2130568151817867,0.4860822067493756,0.9959537527562156
Vollstaendig,Bad Berleburg,Koeffizientenbetraege,Quantil_95,1.6364061485821983,0.8032288181309969,0.2130568151817867,0.4860822067493756,0.9959537527562156
Vollstaendig,Bad Berleburg,Gleichgewichtung,Oberer_Whisker,1.5861117883868845,0.8821497356457196,0.2508894182030473,0.5324209489386049,1.1804699696453154
