datei,anzahl_zeilen,sha256
A1_positionen.csv,178,acd73ba2bd1b0906c6a6bca0bd470515a617075ad4b664cb7e14c9bc2ae9b27c
A2_cluster.csv,47,30d1b689d23c6d9b034661279b831be11d76c6ce7e034b02e137815666b57bc0
A3_abschattende_positionen.csv,804,198056c2d721074818ced69dbe7fc9bcceafd12fceee71fe907e30de72f064dc
B1_ungeordnete_paare.csv,142,9c05368fb181bec13f15a92a28b738a1d6af3fa48de13be6313532ba77f0b98f
B2_gerichtete_transfers.csv,284,be0c0231ceada8c685808ae255ec65a8a9622836314b6861c2e98f4d6eb1e1bd
B3_cluster_sektoren.csv,564,8007ca159aca8f1e6d31105640fc33765592ae7fe673d3ac6830b1a200b24f31
B4_wake_regressionen.csv,7,88dc1950461eab6fe0dc502eae30493a9bc5c51ffd3585f96480f43b6d570ce6
B5_wake_residuen.csv,171,233d8c7e3602db7f67fd538ed80f906974a5b28cd524796cceafb6537f813fae
C10_v57_oof.csv,8094,c7f6f4cc1eb55aff72d8285c00ea793c126a24cd915dd9f1c5c4f894ff9f24fc
C11_v57_validierung.json,,de64231a7f7b7c092bf99daf2dec47ad5d8a4795182ce13cec25594c983e0a6e
C1_loso_folds.csv,32,4a12aefbc3877611b15aac0845b8e2100309ad1e113b693007157490a6ec622e
C2_oof_prognosen.csv,568,43667f356abd53177b3d09d0e6a514af46fbf3e2e2acd2f79f0b18e771a2ac30
C3_koeffizienten.csv,72,0261cc7ce48c705e19161f6339a204145d8403ff4be75671864778d8cea27357
C4_alpha_innere_validierung.csv,120,4ff0c7b9c79372e20cde9c23d2b5c8935ebd7c914c3e51ce3fc2fb193bb39ce4
C5_v57_rangfolge.csv,57,d2533c39e48fb7ea6f321d463990016b34884621428dee26ff1f9da2866d1c25
C6_v57_folds.csv,456,bbe76cceb418712fbb7799bf604cb908a66cb656abbbbd9594db4f45fabe09f2
C7_v57_koeffizienten.csv,1488,7c063da20ade162b10f54bf062dffd675fd6c9f0d9f6de6bd9e9bfe196aff74f
C8_v57_alpha_stabilitaet.csv,103,18ca77e7c9c8ecc09299ecd784b9ed3ba6a8d7a1a57a0b8eeb814687ca14ed04
C9_v57_koeffizienten_stabilitaet.csv,186,08c805968b435244dcf70a54e556314ab52573040f394a1870af64ca9fb1464d
D10_aoa_merkmalsgewichte.csv,128,164e520d3e30c1f3bd8072a93cc35d273c48b382afdb6e7f95694127f81893cb
D11_aoa_training_di.csv,3976,e0f5bc8047568c8c18bfd95a7e27eb5bef117b09f9655242eb9c26a1eb237add
D12_aoa_sensitivitaet.csv,8,0d0acc0ea59f8625b95e4eb6fa885189303eed98a978920d19cef0d877676cd0
D13_tr6_abdeckung.csv,8,da974cfaef68351c8cb47ce523fd5e3cc20296aa9fad80e8490bc259972cc131
D14_tr6_standortvergleich.csv,64,b2e03947beebf042e1197fe757109c266dfec46380329893d3cdcb41068d265e
D1_zielprognosen.csv,188,3ab7000715367007713a495a0d2eaab01ed8bd679db94d71605ecc3ef00b79ab
D2_referenzgewichte.csv,1136,68eb344d91d125482cb0889db4e528d4ca05c93de5b19849751ba663f1437ead
D3_zwei_referenzen_prognosen.csv,3768,6209344e7afad975a66cd28b789375a3660dd53528d7eaf7e0485bc775c5d67b
D4_zwei_referenzen_gewichte.csv,7536,414a72c4f3124e1021d1a83e42e0f2de430998e53467d39bbc511b933237182f
D5_referenzranking.csv,94,ca3141b3c4aca552377074e152cb577568e8ff76f398007d99520f7482c3475a
D6_gewichtskonzentration.csv,32,3a923024bb596f141ede3c1ecc0b85309e2a1e3c81459ab4aab377253ce71d2c
D7_quellunsicherheit.csv,4,f925dbd96e6bee016fc289a7f6c012ab4b0f2edb88d3c1cc201185341db851c0
D8_aoa_alle_varianten.csv,1136,ebd033f4c09ca2ba18d659c230de5b653607fc6f8001b10f349a797e4f3188a9
D9_aoa_foldparameter.csv,64,0d1c6d2f53aabdea37b3210ae306c4a906c2c0dcb674fd95cce7f0bd5381a472
