datei,spalte,einheit,bedeutung,fehlende_werte
A1_positionen.csv,position,Kennung,Positionskennung dieser Beigabe; Verbindung zu A1.,0
A1_positionen.csv,standort,Kategorie,Untersuchungsstandort.,0
A1_positionen.csv,cluster,Kennung,Standortkürzel und zweistellige Clusternummer; Verbindung zu A2.,0
A1_positionen.csv,anlagentyp,Typbezeichnung,Technische Typbezeichnung der WEA einschließlich gegebenenfalls enthaltener Nennleistung; bei LiDAR nicht anwendbar. Keine individuelle Anlagenbeschreibung.,7
A1_positionen.csv,naben_oder_messhoehe_m,m,Nabenhöhe einer WEA bzw. LiDAR-Auswertehöhe über Gelände.,0
A1_positionen.csv,rotordurchmesser_m,m,Rotordurchmesser; bei LiDAR nicht anwendbar und deshalb leer.,7
A1_positionen.csv,ostwert_utm32_m,m,Ostwert in ETRS89/UTM Zone 32N (EPSG:25832).,0
A1_positionen.csv,nordwert_utm32_m,m,Nordwert in ETRS89/UTM Zone 32N (EPSG:25832).,0
A1_positionen.csv,rix_prozent,%,RIX der Position; 3 entspricht 3 Prozent.,0
A1_positionen.csv,gelaendehoehe_dgm_m,m,Geländehöhe aus dem für die Prädiktoren verwendeten DGM.,0
A1_positionen.csv,betriebsbeginn,Datum,Dokumentierter Betriebsbeginn (JJJJ-MM-TT).,7
A1_positionen.csv,betriebsende,Datum,Dokumentiertes Betriebsende (JJJJ-MM-TT); leer bedeutet nicht angegeben.,175
A1_positionen.csv,beobachtungsbeginn,Datum,Beginn des anlagenspezifischen Beobachtungszeitraums (JJJJ-MM-TT).,0
A1_positionen.csv,beobachtungsende,Datum,Ende des anlagenspezifischen Beobachtungszeitraums (JJJJ-MM-TT).,0
A1_positionen.csv,positionsart,Kategorie,WEA oder LiDAR. Betriebsdaten und Rotordurchmesser gelten ausschließlich für WEA; LiDAR-Zeiträume stehen unter Beobachtungsbeginn und -ende.,0
A2_cluster.csv,standort,Kategorie,Untersuchungsstandort.,0
A2_cluster.csv,cluster,Kennung,Standortkürzel und zweistellige Clusternummer; Verbindung zu A2.,0
A2_cluster.csv,anzahl_positionen,Anzahl,Zahl der WEA- oder LiDAR-Positionen des Clusters.,0
A2_cluster.csv,mittlerer_wakeverlust_anteil,1,Mittlerer relativer Wakeverlust; 0.05 entspricht 5 Prozent.,0
A2_cluster.csv,reproduktionsguete_unkorrigiert,1,Dimensionsloses Verhältnis von modelliertem zu beobachtetem Wert vor empirischer Wakebereinigung.,0
A2_cluster.csv,reproduktionsguete_wakebereinigt,1,Dimensionslose Reproduktionsgüte nach der verwendeten empirischen Wakebereinigung.,0
A2_cluster.csv,clusterzentrum_ostwert_utm32_m,m,Arithmetischer Mittelwert der Ostwerte; EPSG:25832.,0
A2_cluster.csv,clusterzentrum_nordwert_utm32_m,m,Arithmetischer Mittelwert der Nordwerte; EPSG:25832.,0
A2_cluster.csv,cluster_rix_prozent,%,Arithmetischer Mittelwert der Positions-RIX innerhalb des Clusters.,0
A2_cluster.csv,mittlere_gelaendehoehe_dgm_m,m,Arithmetischer Mittelwert der DGM-Geländehöhen der Positionen.,0
A2_cluster.csv,standardunsicherheit_log,1,"Verwendete Standardunsicherheit des Clusters auf logarithmischer Reproduktionsskala, keine Varianz.",0
A3_abschattende_positionen.csv,standort,Kategorie,Untersuchungsstandort.,0
A3_abschattende_positionen.csv,ostwert_utm32_m,m,Ostwert der abschattenden Position; EPSG:25832.,0
A3_abschattende_positionen.csv,nordwert_utm32_m,m,Nordwert der abschattenden Position; EPSG:25832.,0
A3_abschattende_positionen.csv,gelaendehoehe_positionsdaten_m,m,Geländehöhe aus den Positionsdaten der abschattenden WEA.,0
A3_abschattende_positionen.csv,nabenhoehe_m,m,Nabenhöhe der abschattenden WEA über Gelände.,0
A3_abschattende_positionen.csv,betriebsbeginn,Datum,Dokumentierter Betriebsbeginn (JJJJ-MM-TT).,0
A3_abschattende_positionen.csv,betriebsende,Datum,Dokumentiertes Betriebsende (JJJJ-MM-TT).,762
B1_ungeordnete_paare.csv,standort,Kategorie,Untersuchungsstandort.,0
B1_ungeordnete_paare.csv,clusterpaar,Kennung,Ungeordnetes Paar zweier global eindeutiger Clusterkennungen; numerisch sortiert.,0
B1_ungeordnete_paare.csv,beobachteter_absoluter_logfehler,1,Betrag des beobachteten natürlichen Log-Transferfehlers. Das Gamma-Ziel ist dessen Quadrat.,0
B1_ungeordnete_paare.csv,trainingsgewicht_vor_standortausgleich,1,"Begrenztes, auf Mittelwert eins normiertes Zuverlässigkeitsgewicht vor der faltungsspezifischen Standortbalancierung; keine Summe-eins-Gewichtung.",0
B1_ungeordnete_paare.csv,distanz_m,m,Horizontale Entfernung der Clusterzentren (D).,0
B1_ungeordnete_paare.csv,mittlerer_rix_prozent,%,Mittelwert der beiden Cluster-RIX (R); 3 entspricht 3 Prozent.,0
B1_ungeordnete_paare.csv,gelaendehoehendifferenz_m,m,Absoluter Unterschied der mittleren Geländehöhen (H).,0
B1_ungeordnete_paare.csv,rauigkeitsdifferenz_rms_m,m,Energiegewichteter RMS-Unterschied sektoraler Rauigkeitslängen (Z).,0
B1_ungeordnete_paare.csv,waldanteilsdifferenz_rms,1,Energiegewichteter RMS-Unterschied sektoraler Waldanteile zwischen 0 und 1 (F).,0
B1_ungeordnete_paare.csv,winddissimilaritaet_log_rms,1,Energiegewichteter RMS der logarithmischen Verhältnisse freier sektoraler Windgeschwindigkeiten (W).,0
B2_gerichtete_transfers.csv,standort,Kategorie,Untersuchungsstandort.,0
B2_gerichtete_transfers.csv,referenzcluster,Kennung,Referenzcluster des gerichteten Transfers; Verbindung zu A2.,0
B2_gerichtete_transfers.csv,zielcluster,Kennung,Zielcluster des gerichteten Transfers; Verbindung zu A2.,0
B2_gerichtete_transfers.csv,log_transferfehler,1,Vorzeichenbehafteter natürlicher Logarithmus der Transferreproduktion für Referenz zu Ziel.,0
B3_cluster_sektoren.csv,standort,Kategorie,Untersuchungsstandort.,0
B3_cluster_sektoren.csv,cluster,Kennung,Standortkürzel und zweistellige Clusternummer; Verbindung zu A2.,0
B3_cluster_sektoren.csv,sektormitte_grad,Grad,"Mitte des 30-Grad-Anströmsektors; 0 Grad = Nord, im Uhrzeigersinn.",0
B3_cluster_sektoren.csv,sektorgewicht_0_bis_1,1,"Arithmetisch über Positionen gemittelter, zuvor je Position normierter Energieanteil. Summe der zwölf Sektoren je Cluster ist eins.",0
B3_cluster_sektoren.csv,rauigkeitslaenge_sektor_m,m,"Mittlere sektorale Rauigkeitslänge; vier Entfernungsringe gewichtet, danach Positionen gleichgewichtet.",0
B3_cluster_sektoren.csv,waldanteil_sektor_0_bis_1,1,"Mittlerer sektoraler Waldflächenanteil im 5-km-Umkreis, zwischen 0 und 1.",0
B3_cluster_sektoren.csv,freie_windgeschwindigkeit_m_pro_s,m/s,Arithmetisch über Clusterpositionen gemittelte freie sektorale Windgeschwindigkeit.,0
B4_wake_regressionen.csv,standort,Kategorie,Untersuchungsstandort.,0
B4_wake_regressionen.csv,anzahl_wea,Anzahl,Zahl der WEA in der standortbezogenen linearen Regression.,0
B4_wake_regressionen.csv,ols_interzept,1,Interzept b0 der Regression Reproduktionsgüte gegen relativen Wakeverlust.,0
B4_wake_regressionen.csv,ols_steigung,1,"Steigung b1 je Einheit des Wakeverlustanteils (1 entspricht 100 Prozent), nicht je Prozentpunkt.",0
B4_wake_regressionen.csv,steigung_ki95_unten,1,Untere Grenze des klassischen 95-Prozent-Konfidenzintervalls der Steigung.,0
B4_wake_regressionen.csv,steigung_ki95_oben,1,Obere Grenze des klassischen 95-Prozent-Konfidenzintervalls der Steigung.,0
B4_wake_regressionen.csv,pearson_r,1,Pearson-Korrelation zwischen relativem Wakeverlust und Reproduktionsgüte.,0
B4_wake_regressionen.csv,p_wert_steigung,1,Zweiseitiger klassischer OLS-p-Wert für die Nullhypothese Steigung = 0; keine Korrektur für räumliche Abhängigkeit oder Mehrfachtests.,0
B4_wake_regressionen.csv,rmse_reproduktionsresiduen,1,Wurzel aus dem Mittel der quadrierten OLS-Residuen auf Reproduktionsskala (Division durch n).,0
B4_wake_regressionen.csv,wakebereinigung_angewendet,ja/nein,Empirische Wakebereinigung am Standort angewendet.,0
B5_wake_residuen.csv,position,Kennung,Positionskennung dieser Beigabe; Verbindung zu A1.,0
B5_wake_residuen.csv,standort,Kategorie,Untersuchungsstandort.,0
B5_wake_residuen.csv,wakeverlust_anteil,1,Relativer modellierter Wakeverlust; 0.05 entspricht 5 Prozent.,0
